time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.229781,0.001517,8.000000,0.297738,-44.091400,2297.805958,970.736620
0.002,0.459444,0.003032,8.000000,0.317120,-43.994360,2296.632771,969.572395
0.003,0.689044,0.004548,8.000000,0.313554,-43.897436,2296.002793,968.638824
0.004,0.918562,0.006063,8.000000,0.318382,-43.800605,2295.173503,967.622235
0.005,1.148012,0.007577,8.000000,0.316320,-43.703876,2294.507362,966.675560
0.006,1.377396,0.009091,8.000000,0.314518,-43.607242,2293.834850,965.727242
0.007,1.606711,0.010604,8.000000,0.312942,-43.510703,2293.156731,964.777606
0.008,1.835959,0.012117,8.000000,0.311564,-43.414258,2292.473672,963.826939
0.009,2.065135,0.013630,8.000000,0.311564,-43.317909,2291.757582,962.863444
0.010,2.294239,0.015142,8.000000,0.311564,-43.221655,2291.041224,961.900911
0.011,2.523271,0.016654,8.000000,0.311564,-43.125498,2290.324598,960.939341
0.012,2.752262,0.018165,8.000000,0.299111,-43.029437,2289.904728,960.103267
0.013,2.981180,0.019676,8.000000,0.299111,-42.933460,2289.187676,959.143494
0.014,3.210026,0.021186,8.000000,0.299786,-42.837579,2288.454231,958.177928
0.015,3.438814,0.022696,8.000000,0.293778,-42.741794,2287.880223,957.280157
0.016,3.667543,0.024206,8.000000,0.288525,-42.646098,2287.288044,956.375734
0.017,3.896162,0.025715,8.000000,0.304260,-42.550494,2286.193440,955.262338
0.018,4.124710,0.027223,8.000000,0.303973,-42.455000,2285.481875,954.310272
0.019,4.353172,0.028731,8.000000,0.310005,-42.359602,2284.618606,953.295965
0.020,4.581549,0.030238,8.000000,0.315280,-42.264305,2283.773098,952.290253
0.021,4.809859,0.031745,8.000000,0.313608,-42.169109,2283.093881,951.355005
0.022,5.038103,0.033251,8.000000,0.310869,-42.074006,2282.440085,950.431371
0.023,5.266293,0.034758,8.000000,0.303468,-41.978995,2281.898102,949.555270
0.024,5.494441,0.036263,8.000000,0.290714,-41.884072,2281.484773,948.733577
0.025,5.722544,0.037769,8.000000,0.279563,-41.789231,2281.032934,947.896679
0.026,5.950584,0.039274,8.000000,0.276097,-41.694474,2280.396066,946.983772
0.027,6.178574,0.040779,8.000000,0.266783,-41.599808,2279.899929,946.130253
0.028,6.406492,0.042283,8.000000,0.266783,-41.505227,2279.179165,945.184447
0.029,6.634317,0.043786,8.000000,0.275126,-41.410741,2278.256808,944.156150
0.030,6.862063,0.045290,8.000000,0.278500,-41.316358,2277.453965,943.178575
0.031,7.089729,0.046792,8.000000,0.281450,-41.222072,2276.661018,942.206216
0.032,7.317347,0.048294,8.000000,0.271463,-41.127884,2276.180546,941.364201
0.033,7.544914,0.049796,8.000000,0.262732,-41.033779,2275.669697,940.510477
0.034,7.772415,0.051298,8.000000,0.260198,-40.939760,2275.008714,939.595619
0.035,7.999846,0.052799,8.000000,0.259165,-40.845833,2274.311191,938.666675
0.036,8.227237,0.054300,8.000000,0.245696,-40.751998,2273.914962,937.863025
0.037,8.454570,0.055800,8.000000,0.240202,-40.658244,2273.325300,936.980420
0.038,8.681857,0.057300,8.000000,0.229115,-40.564578,2272.871301,936.154626
0.039,8.909086,0.058800,8.000000,0.223513,-40.470994,2272.284080,935.274815
0.040,9.136218,0.060299,8.000000,0.233373,-40.377499,2271.320813,934.241257
0.041,9.363287,0.061798,8.000000,0.229428,-40.284106,2270.692899,933.346788
0.042,9.590292,0.063296,8.000000,0.225978,-40.190803,2270.052752,932.448254
0.043,9.817217,0.064794,8.000000,0.229245,-40.097590,2269.248802,931.483452
0.044,10.044144,0.066291,8.000000,0.198479,-40.004474,2269.274170,930.859943
0.045,10.271014,0.067789,8.000000,0.192636,-39.911419,2268.692086,929.987837
0.046,10.497792,0.069285,8.000000,0.200093,-39.818452,2267.785199,928.983595
0.047,10.724482,0.070782,8.000000,0.206613,-39.725585,2266.900751,927.989727
0.048,10.951071,0.072277,8.000000,0.218597,-39.632818,2265.882314,926.942215
0.049,11.177507,0.073772,8.000000,0.250802,-39.540155,2264.368663,925.693533
0.050,11.403825,0.075265,8.000000,0.269799,-39.447617,2263.177245,924.578181
0.051,11.630029,0.076758,8.000000,0.286409,-39.355191,2262.043559,923.487817
0.052,11.856156,0.078251,8.000000,0.288366,-39.262874,2261.268369,922.545080
0.053,12.082222,0.079743,8.000000,0.283793,-39.170650,2260.653013,921.668575
0.054,12.308204,0.081234,8.000000,0.288076,-39.078515,2259.820154,920.704388
0.055,12.534093,0.082725,8.000000,0.296106,-38.986475,2258.894896,919.703695
0.056,12.759939,0.084216,8.000000,0.284277,-38.894536,2258.457256,918.902589
0.057,12.985706,0.085706,8.000000,0.286502,-38.802677,2257.674038,917.961755
0.058,13.211411,0.087195,8.000000,0.282163,-38.710912,2257.052019,917.087489
0.059,13.437133,0.088685,8.000000,0.246006,-38.619234,2257.213474,916.532283
0.060,13.662779,0.090174,8.000000,0.246756,-38.527612,2256.466026,915.608558
0.061,13.888351,0.091663,8.000000,0.247412,-38.436082,2255.720626,914.686698
0.062,14.113849,0.093151,8.000000,0.247986,-38.344644,2254.976985,913.766585
0.063,14.339273,0.094639,8.000000,0.248488,-38.253299,2254.234853,912.848112
0.064,14.564623,0.096127,8.000000,0.248488,-38.162045,2253.504843,911.935572
0.065,14.789869,0.097613,8.000000,0.261421,-38.070882,2252.454747,910.894606
0.066,15.015044,0.099099,8.000000,0.260235,-37.979823,2251.753479,909.995887
0.067,15.240149,0.100585,8.000000,0.259197,-37.888854,2251.048291,909.096575
0.068,15.465183,0.102070,8.000000,0.258290,-37.797976,2250.339642,908.196858
0.069,15.690175,0.103555,8.000000,0.245816,-37.707186,2249.917557,907.413709
0.070,15.915091,0.105040,8.000000,0.246590,-37.616476,2249.166820,906.498858
0.071,16.139933,0.106524,8.000000,0.247267,-37.525856,2248.418224,905.585896
0.072,16.364700,0.108007,8.000000,0.247859,-37.435328,2247.671468,904.674696
0.073,16.589408,0.109490,8.000000,0.242093,-37.344891,2247.082503,903.827983
0.074,16.814065,0.110973,8.000000,0.233434,-37.254539,2246.565416,903.011051
0.075,17.038674,0.112455,8.000000,0.223198,-37.164268,2246.087554,902.210706
0.076,17.263216,0.113937,8.000000,0.220531,-37.074078,2245.421125,901.335466
0.077,17.487690,0.115419,8.000000,0.218200,-36.983974,2244.746155,900.457750
0.078,17.712065,0.116900,8.000000,0.228727,-36.893959,2243.750204,899.452317
0.079,17.936355,0.118380,8.000000,0.233414,-36.804044,2242.899542,898.506302
0.080,18.160598,0.119860,8.000000,0.223180,-36.714224,2242.421205,897.710434
0.081,18.384789,0.121340,8.000000,0.214233,-36.624483,2241.910730,896.902502
0.082,18.608910,0.122819,8.000000,0.212693,-36.534823,2241.214943,896.021302
0.083,18.832961,0.124298,8.000000,0.211346,-36.445251,2240.514098,895.139047
0.084,19.056943,0.125776,8.000000,0.209929,-36.355767,2239.814803,894.258380
0.085,19.280838,0.127254,8.000000,0.215213,-36.266371,2238.947338,893.311583
0.086,19.504647,0.128731,8.000000,0.219833,-36.177070,2238.096140,892.372372
0.087,19.728357,0.130207,8.000000,0.230155,-36.087863,2237.101453,891.377073
0.088,19.952003,0.131683,8.000000,0.226614,-35.998755,2236.454419,890.521405
0.089,20.175583,0.133159,8.000000,0.223518,-35.909733,2235.796042,889.662142
0.090,20.399072,0.134634,8.000000,0.230221,-35.820796,2234.891067,888.705748
0.091,20.622528,0.136109,8.000000,0.214106,-35.731955,2234.559894,887.978497
0.092,20.845930,0.137583,8.000000,0.206298,-35.643187,2234.019664,887.168889
0.093,21.069259,0.139057,8.000000,0.205755,-35.554500,2233.296334,886.287447
0.094,21.292515,0.140531,8.000000,0.205655,-35.465901,2232.561605,885.402460
0.095,21.515683,0.142004,8.000000,0.211476,-35.377390,2231.677220,884.459144
0.096,21.738796,0.143476,8.000000,0.203999,-35.288974,2231.128194,883.649750
0.097,21.961851,0.144948,8.000000,0.197462,-35.200639,2230.555369,882.831768
0.098,22.184800,0.146420,8.000000,0.210596,-35.112385,2229.485121,881.817894
0.099,22.407664,0.147891,8.000000,0.214849,-35.024233,2228.638965,880.893839
0.100,22.630442,0.149361,8.000000,0.219515,-34.936173,2227.782009,879.966583
0.101,22.853104,0.150830,8.000000,0.236160,-34.848206,2226.621188,878.920453
0.102,23.075671,0.152299,8.000000,0.244590,-34.760343,2225.667980,877.957531
0.103,23.298193,0.153768,8.000000,0.232952,-34.672576,2225.223373,877.196247
0.104,23.520620,0.155236,8.000000,0.241626,-34.584886,2224.263204,876.232604
0.105,23.742985,0.156704,8.000000,0.236643,-34.497292,2223.649457,875.406488
0.106,23.965308,0.158171,8.000000,0.223774,-34.409781,2223.236059,874.660065
0.107,24.187549,0.159638,8.000000,0.227318,-34.322344,2222.405264,873.750256
0.108,24.409723,0.161104,8.000000,0.224134,-34.234998,2221.745389,872.908641
0.109,24.631831,0.162570,8.000000,0.221349,-34.147736,2221.075156,872.063866
0.110,24.853870,0.164036,8.000000,0.218915,-34.060559,2220.395830,871.216437
0.111,25.075862,0.165501,8.000000,0.208642,-33.973466,2219.916220,870.448237
0.112,25.297766,0.166965,8.000000,0.214088,-33.886450,2219.035493,869.523623
0.113,25.519583,0.168429,8.000000,0.218849,-33.799527,2218.171856,868.606776
0.114,25.741315,0.169893,8.000000,0.223012,-33.712695,2217.323143,867.696828
0.115,25.962964,0.171356,8.000000,0.226652,-33.625954,2216.487454,866.793022
0.116,26.184583,0.172818,8.000000,0.209063,-33.539304,2216.194626,866.102403
0.117,26.406147,0.174281,8.000000,0.201890,-33.452722,2215.635323,865.308325
0.118,26.627638,0.175742,8.000000,0.201129,-33.366220,2214.911641,864.450910
0.119,26.849071,0.177204,8.000000,0.194952,-33.279804,2214.326596,863.648513
0.120,27.070443,0.178665,8.000000,0.189552,-33.193468,2213.721550,862.839156
0.121,27.291785,0.180126,8.000000,0.172264,-33.107212,2213.421595,862.149485
0.122,27.513049,0.181586,8.000000,0.173769,-33.021026,2212.639035,861.272572
0.123,27.734213,0.183046,8.000000,0.183597,-32.934927,2211.642230,860.313306
0.124,27.955281,0.184505,8.000000,0.192190,-32.848925,2210.676701,859.367349
0.125,28.176303,0.185964,8.000000,0.180853,-32.763016,2210.223722,858.621631
0.126,28.397260,0.187422,8.000000,0.177225,-32.677183,2209.572248,857.799581
0.127,28.618143,0.188880,8.000000,0.177225,-32.591431,2208.827091,856.942065
0.128,28.838951,0.190337,8.000000,0.177225,-32.505765,2208.081693,856.085407
0.129,29.059770,0.191794,8.000000,0.144057,-32.420185,2208.192095,855.561278
0.130,29.280529,0.193251,8.000000,0.138769,-32.334657,2207.583061,854.758880
0.131,29.501208,0.194708,8.000000,0.140429,-32.249210,2206.794363,853.887806
0.132,29.721793,0.196164,8.000000,0.148163,-32.163849,2205.848285,852.956858
0.133,29.942269,0.197619,8.000000,0.161209,-32.078582,2204.764321,851.973727
0.134,30.162693,0.199074,8.000000,0.152751,-31.993412,2204.236620,851.206611
0.135,30.383059,0.200528,8.000000,0.146371,-31.908320,2203.655069,850.419491
0.136,30.603315,0.201982,8.000000,0.159642,-31.823306,2202.563886,849.436644
0.137,30.823497,0.203435,8.000000,0.159642,-31.738390,2201.816461,848.587488
0.138,31.043653,0.204888,8.000000,0.140566,-31.653560,2201.564078,847.929937
0.139,31.263775,0.206341,8.000000,0.125194,-31.568795,2201.215722,847.236010
0.140,31.483796,0.207793,8.000000,0.134843,-31.484099,2200.217010,846.292565
0.141,31.703738,0.209245,8.000000,0.136996,-31.399498,2199.412817,845.425020
0.142,31.923615,0.210696,8.000000,0.132595,-31.314983,2198.778941,844.623880
0.143,32.143412,0.212147,8.000000,0.135031,-31.230549,2197.966857,843.755178
0.144,32.363140,0.213597,8.000000,0.132739,-31.146201,2197.277699,842.934619
0.145,32.582852,0.215047,8.000000,0.110024,-31.061935,2197.121091,842.319114
0.146,32.802525,0.216497,8.000000,0.096446,-30.977731,2196.726319,841.612848
0.147,33.022121,0.217946,8.000000,0.097141,-30.893598,2195.958875,840.764562
0.148,33.241640,0.219395,8.000000,0.097749,-30.809549,2195.193457,839.917998
0.149,33.461082,0.220843,8.000000,0.098745,-30.725585,2194.417635,839.068398
0.150,33.680431,0.222291,8.000000,0.105434,-30.641705,2193.492549,838.162712
0.151,33.899690,0.223738,8.000000,0.111283,-30.557917,2192.589068,837.266337
0.152,34.118881,0.225185,8.000000,0.108302,-30.474218,2191.916594,836.459161
0.153,34.338050,0.226631,8.000000,0.088657,-30.390599,2191.680892,835.819420
0.154,34.557155,0.228077,8.000000,0.084048,-30.307045,2191.050950,835.029968
0.155,34.776141,0.229523,8.000000,0.100837,-30.223569,2189.859035,834.027319
0.156,34.995018,0.230967,8.000000,0.113547,-30.140194,2188.773645,833.066470
0.157,35.213807,0.232411,8.000000,0.118376,-30.056914,2187.894877,832.185384
0.158,35.432513,0.233855,8.000000,0.121586,-29.973723,2187.058346,831.321370
