time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.069,103.493670,0.683058,4.000000,-0.011752,17.177920,172.642105,33.832024
0.070,103.510778,0.683171,4.000000,-0.014828,17.181303,171.085616,33.525269
0.071,103.527549,0.683282,4.000000,-0.017518,17.184655,167.712505,32.862600
0.072,103.549780,0.683429,4.000000,-0.031500,17.187941,222.308923,43.558360
0.073,103.566886,0.683541,4.000000,-0.025811,17.192297,171.058064,33.514228
0.074,103.586158,0.683669,4.000000,-0.033404,17.195648,192.716359,37.755651
0.075,103.610099,0.683827,4.000000,-0.046326,17.199424,239.415985,46.902005
0.076,103.624423,0.683921,4.000000,-0.032172,17.204114,143.234306,28.057833
0.077,103.631160,0.683966,4.000000,-0.020116,17.206919,67.368233,13.196038
0.078,103.631841,0.683970,4.000000,-0.009574,17.208239,6.817537,1.335387
0.079,103.627750,0.683943,4.000000,-0.000358,17.208373,-40.916853,-8.014584
0.080,103.631992,0.683971,4.000000,-0.015880,17.207571,42.421185,8.309347
0.081,103.643531,0.684047,4.000000,-0.031004,17.208402,115.391502,22.602287
0.082,103.651044,0.684097,4.000000,-0.025378,17.210662,75.131661,14.715889
0.083,103.661710,0.684167,4.000000,-0.033025,17.212134,106.663462,20.891490
0.084,103.668308,0.684211,4.000000,-0.027145,17.214223,65.977638,12.922204
0.085,103.666521,0.684199,4.000000,-0.012015,17.215515,-17.870731,-3.500044
0.086,103.663259,0.684178,4.000000,-0.008775,17.215165,-32.626199,-6.389988
0.087,103.655668,0.684127,4.000000,0.000341,17.214526,-75.907525,-14.866976
0.088,103.651183,0.684098,4.000000,-0.004255,17.213039,-44.849856,-8.784332
0.089,103.652406,0.684106,4.000000,-0.014557,17.212161,12.231375,2.395680
0.090,103.667736,0.684207,4.000000,-0.042426,17.212401,153.298980,30.025567
0.091,103.671512,0.684232,4.000000,-0.022798,17.215403,37.758772,7.395199
0.092,103.669356,0.684218,4.000000,-0.011920,17.216143,-21.559695,-4.222500
0.093,103.656143,0.684131,4.000000,0.010157,17.215720,-132.128847,-25.877810
0.094,103.637604,0.684008,4.000000,0.023178,17.213132,-185.386978,-36.310005
0.095,103.620920,0.683898,4.000000,0.023178,17.209501,-166.838486,-32.678904
0.096,103.605906,0.683799,4.000000,0.023178,17.206233,-150.146704,-29.410932
0.097,103.592393,0.683710,4.000000,0.023178,17.203292,-135.125609,-26.469772
0.098,103.567350,0.683545,4.000000,0.048414,17.200645,-250.432618,-49.059265
0.099,103.557444,0.683479,4.000000,0.023669,17.195739,-99.062545,-19.407619
0.100,103.546914,0.683410,4.000000,0.026830,17.193798,-105.290764,-20.628420
0.101,103.538276,0.683353,4.000000,0.025189,17.191735,-86.380392,-16.924060
0.102,103.531235,0.683306,4.000000,0.023753,17.190043,-70.415107,-13.796423
0.103,103.528745,0.683290,4.000000,0.016215,17.188663,-24.899837,-4.878725
0.104,103.529868,0.683297,4.000000,0.009625,17.188175,11.227842,2.199932
0.105,103.527173,0.683279,4.000000,0.016884,17.188395,-26.942998,-5.279071
0.106,103.521742,0.683243,4.000000,0.022775,17.187868,-54.317512,-10.642778
0.107,103.514224,0.683194,4.000000,0.027926,17.186803,-75.174928,-14.729745
0.108,103.505160,0.683134,4.000000,0.032430,17.185330,-90.641615,-17.760681
0.109,103.501406,0.683109,4.000000,0.023802,17.183554,-37.541163,-7.356166
0.110,103.514460,0.683195,4.000000,-0.008398,17.182819,130.540968,25.579704
0.111,103.527994,0.683285,4.000000,-0.011896,17.185377,135.342456,26.519525
0.112,103.548150,0.683418,4.000000,-0.027521,17.188028,201.556710,39.492198
0.113,103.573264,0.683584,4.000000,-0.041182,17.191978,251.139276,49.204229
0.114,103.592344,0.683709,4.000000,-0.034277,17.196898,190.796742,37.378857
0.115,103.591716,0.683705,4.000000,0.000593,17.200636,-6.271937,-1.228660
0.116,103.583892,0.683654,4.000000,0.014815,17.200513,-78.243152,-15.327713
0.117,103.576918,0.683608,4.000000,0.014683,17.198980,-69.745174,-13.663293
0.118,103.567492,0.683545,4.000000,0.020852,17.197614,-94.254060,-18.465045
0.119,103.559464,0.683492,4.000000,0.019961,17.195767,-80.282286,-15.728319
0.120,103.567810,0.683548,4.000000,-0.010545,17.194194,83.456620,16.350605
0.121,103.570554,0.683566,4.000000,-0.001206,17.195829,27.446965,5.377204
0.122,103.568857,0.683554,4.000000,0.006958,17.196367,-16.973955,-3.325383
0.123,103.560478,0.683499,4.000000,0.020381,17.196034,-83.786998,-16.414870
0.124,103.546948,0.683410,4.000000,0.032116,17.194393,-135.306026,-26.508727
0.125,103.527758,0.683283,4.000000,0.045854,17.191742,-191.890493,-37.596102
0.126,103.510489,0.683169,4.000000,0.045854,17.187982,-172.690950,-33.836383
0.127,103.504815,0.683132,4.000000,0.026520,17.184598,-56.741612,-11.118304
0.128,103.500526,0.683103,4.000000,0.024917,17.183487,-42.888434,-8.403969
0.129,103.490969,0.683040,4.000000,0.036083,17.182646,-95.578570,-18.728818
0.130,103.488255,0.683022,4.000000,0.024543,17.180773,-27.132062,-5.316736
0.131,103.486504,0.683011,4.000000,0.023189,17.180242,-17.508379,-3.430929
0.132,103.482327,0.682983,4.000000,0.028288,17.179899,-41.779150,-8.187055
0.133,103.479498,0.682965,4.000000,0.026464,17.179080,-28.289005,-5.543592
0.134,103.477766,0.682953,4.000000,0.024868,17.178525,-17.318361,-3.393783
0.135,103.486757,0.683013,4.000000,0.004194,17.178186,89.914853,17.620204
0.136,103.494236,0.683062,4.000000,0.005397,17.179948,74.786208,14.655117
0.137,103.497224,0.683082,4.000000,0.012732,17.181414,29.876800,5.854531
0.138,103.496640,0.683078,4.000000,0.019145,17.181999,-5.839408,-1.144255
0.139,103.490046,0.683034,4.000000,0.031036,17.181885,-65.935907,-12.920428
0.140,103.486188,0.683009,4.000000,0.026969,17.180593,-38.585174,-7.561082
0.141,103.486768,0.683013,4.000000,0.019026,17.179836,5.802673,1.137095
0.142,103.487627,0.683018,4.000000,0.018366,17.179950,8.594782,1.684235
0.143,103.485489,0.683004,4.000000,0.024071,17.180119,-21.379755,-4.189569
0.144,103.481020,0.682975,4.000000,0.029059,17.179700,-44.697856,-8.759032
0.145,103.481184,0.682976,4.000000,0.020855,17.178824,1.641580,0.321690
0.146,103.481331,0.682977,4.000000,0.020855,17.178856,1.477422,0.289521
0.147,103.481464,0.682978,4.000000,0.020855,17.178885,1.329681,0.260569
0.148,103.488436,0.683024,4.000000,0.007426,17.178911,69.720696,13.662695
0.149,103.497511,0.683084,4.000000,0.001940,17.180277,90.747326,17.782770
0.150,103.510267,0.683168,4.000000,-0.007051,17.182055,127.558194,24.995517
0.151,103.521748,0.683244,4.000000,-0.007051,17.184555,114.807012,22.496013
0.152,103.535589,0.683335,4.000000,-0.013924,17.186804,138.408711,27.119746
0.153,103.552684,0.683448,4.000000,-0.023011,17.189516,170.949300,33.494344
0.154,103.568918,0.683555,4.000000,-0.024672,17.192866,162.343070,31.806482
0.155,103.584919,0.683660,4.000000,-0.027395,17.196046,160.014586,31.348755
0.156,103.603096,0.683780,4.000000,-0.034789,17.199181,181.762271,35.607675
0.157,103.613133,0.683847,4.000000,-0.022404,17.202742,100.371990,19.662047
0.158,103.619846,0.683891,4.000000,-0.017858,17.204708,67.133167,13.150439
0.159,103.630275,0.683960,4.000000,-0.026451,17.206023,104.284975,20.427542
0.160,103.634421,0.683987,4.000000,-0.016188,17.208066,41.467286,8.122438
0.161,103.633024,0.683978,4.000000,-0.006141,17.208878,-13.975016,-2.737333
0.162,103.633697,0.683982,4.000000,-0.009922,17.208604,6.728036,1.317849
0.163,103.635990,0.683998,4.000000,-0.013228,17.208736,22.934775,4.492321
0.164,103.629907,0.683957,4.000000,0.002730,17.209185,-60.833898,-11.915684
0.165,103.620300,0.683894,4.000000,0.010824,17.207994,-96.067717,-18.817362
0.166,103.617880,0.683878,4.000000,-0.001373,17.206112,-24.194021,-4.739165
0.167,103.617939,0.683878,4.000000,-0.005753,17.205638,0.588884,0.115352
0.168,103.619948,0.683892,4.000000,-0.009583,17.205650,20.083075,3.933934
0.169,103.620257,0.683894,4.000000,-0.006649,17.206043,3.094553,0.606167
0.170,103.624093,0.683919,4.000000,-0.013617,17.206104,38.357326,7.513498
0.171,103.632204,0.683973,4.000000,-0.022742,17.206855,81.107413,15.887274
0.172,103.646784,0.684069,4.000000,-0.037004,17.208444,145.808423,28.560177
0.173,103.663066,0.684176,4.000000,-0.043190,17.211300,162.817760,31.890480
0.174,103.667650,0.684206,4.000000,-0.023466,17.214488,45.837831,8.977639
0.175,103.682532,0.684305,4.000000,-0.044533,17.215386,148.819092,29.146791
0.176,103.692185,0.684368,4.000000,-0.037207,17.218301,96.534993,18.905905
0.177,103.699768,0.684418,4.000000,-0.035040,17.220191,75.821363,14.848812
0.178,103.713085,0.684506,4.000000,-0.047756,17.221676,133.174033,26.080133
0.179,103.733957,0.684644,4.000000,-0.065158,17.224284,208.722741,40.873579
0.180,103.757305,0.684798,4.000000,-0.074089,17.228371,233.474823,45.717846
0.181,103.769471,0.684879,4.000000,-0.056766,17.232943,121.667361,23.822612
0.182,103.769534,0.684879,4.000000,-0.035449,17.235325,0.629294,0.123212
