time,Vin,Pw,Force,Fx,Fy,Fz
0.000000,0.000000,0.000000,0.010307327,1.974283602,-1.016473718,0.010307327
0.001000,0.000000,0.000000,0.010307327,1.974283602,-1.016473718,0.010307327
0.002000,0.000000,0.000000,0.010307327,1.974283602,-1.016473718,0.010307327
0.003000,0.000000,0.000000,0.010307327,1.974283602,-1.016473718,0.010307327
0.004000,0.000000,0.000000,0.010307327,1.974283602,-1.016473718,0.010307327
0.005000,0.000000,0.000000,0.077272414,2.157356810,-1.012943001,0.077272414
0.006000,0.000000,0.000000,0.068698307,2.102423483,-1.076202646,0.068698307
0.007000,0.000000,0.000000,0.052634915,1.832903569,-1.223454813,0.052634915
0.008000,0.000000,0.000000,0.052634915,1.832903569,-1.223454813,0.052634915
0.009000,0.000000,0.000000,0.073417432,1.870182042,-1.292067509,0.073417432
0.010000,0.000000,0.000000,0.073417432,1.870182042,-1.292067509,0.073417432
0.011000,0.000000,0.000000,0.081893758,1.818342008,-1.286529591,0.081893758
0.012000,0.000000,0.000000,0.082428824,1.913986423,-1.512990095,0.082428824
0.013000,0.000000,0.000000,0.082428824,1.913986423,-1.512990095,0.082428824
0.014000,0.000000,0.000000,0.082428824,1.913986423,-1.512990095,0.082428824
0.015000,0.000000,0.000000,0.089917942,1.379468923,-1.595644471,0.089917942
0.016000,0.000000,0.000000,0.085430341,1.209995553,-1.280338029,0.085430341
0.017000,0.000000,0.000000,0.098680265,1.178285147,-1.276274081,0.098680265
0.018000,0.000000,0.000000,0.103981970,1.213391441,-1.147057118,0.103981970
0.019000,0.000000,0.000000,0.123657639,1.270923645,-1.060960032,0.123657639
0.020000,0.000000,0.000000,0.113254223,1.420052348,-1.147295789,0.113254223
0.021000,0.000000,0.000000,0.116724510,1.613272839,-1.222782275,0.116724510
0.022000,0.000000,0.000000,0.107192338,1.593716967,-1.288782849,0.107192338
0.023000,0.000000,0.000000,0.092574828,1.513786706,-1.283657694,0.092574828
0.024000,0.000000,0.000000,0.068619649,1.626228703,-1.157490565,0.068619649
0.025000,0.000000,0.000000,0.071415697,1.793540309,-1.106032232,0.071415697
0.026000,0.000000,0.000000,0.071415697,1.793540309,-1.106032232,0.071415697
0.027000,0.000000,0.000000,0.071415697,1.793540309,-1.106032232,0.071415697
0.028000,0.000000,0.000000,0.071415697,1.793540309,-1.106032232,0.071415697
0.029000,0.000000,0.000000,0.075997860,1.895026418,-1.076638471,0.075997860
0.030000,0.000000,0.000000,0.103561939,1.473543631,-0.828866248,0.103561939
0.031000,0.000000,0.000000,0.108250195,1.597210356,-0.693040358,0.108250195
0.032000,0.000000,0.000000,0.108250195,1.597210356,-0.693040358,0.108250195
0.033000,0.000000,0.000000,0.098662889,1.564339370,-0.533280708,0.098662889
0.034000,0.000000,0.000000,0.108604159,1.421442664,-0.638790577,0.108604159
0.035000,0.000000,0.000000,0.106375605,1.237497324,-0.464018447,0.106375605
0.036000,0.000000,0.000000,0.110710285,1.202330943,-0.499704390,0.110710285
0.037000,0.000000,0.000000,0.114500253,1.360079260,-0.593737758,0.114500253
0.038000,0.000000,0.000000,0.117813959,1.372340632,-0.550290839,0.117813959
0.039000,0.000000,0.000000,0.105974043,0.968402967,-0.416258163,0.105974043
0.040000,0.000000,0.000000,0.110359184,0.841388275,-0.457945840,0.110359184
0.041000,0.000000,0.000000,0.107910087,0.604671013,-0.494394889,0.107910087
0.042000,0.000000,0.000000,0.105768753,0.397700520,-0.589095469,0.105768753
0.043000,0.000000,0.000000,0.110179692,0.468066118,-0.671895623,0.110179692
0.044000,0.000000,0.000000,0.087571550,0.693253617,-1.051020264,0.087571550
0.045000,0.000000,0.000000,0.081702846,0.789310771,-1.138605090,0.081702846
0.046000,0.000000,0.000000,0.076571626,0.873297027,-0.963856269,0.076571626
