time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.066,9.738444,0.064274,13.000000,-0.163841,69.901445,1462.973566,1034.223965
0.067,9.884695,0.065239,13.000000,-0.159015,70.004829,1462.512269,1033.141853
0.068,10.030910,0.066204,13.000000,-0.161078,70.108106,1462.148311,1032.129721
0.069,10.177073,0.067169,13.000000,-0.152682,70.211281,1461.635934,1031.014011
0.070,10.323198,0.068133,13.000000,-0.152682,70.314345,1461.242344,1029.983373
0.071,10.469281,0.069097,13.000000,-0.151757,70.417305,1460.835446,1028.944520
0.072,10.615325,0.070061,13.000000,-0.151757,70.520162,1460.441486,1027.915951
0.073,10.761330,0.071025,13.000000,-0.151757,70.622916,1460.047346,1026.888410
0.074,10.907295,0.071988,13.000000,-0.151757,70.725568,1459.653024,1025.861897
0.075,11.053208,0.072951,13.000000,-0.142338,70.828116,1459.124393,1024.742212
0.076,11.199081,0.073914,13.000000,-0.142225,70.930553,1458.728049,1023.716722
0.077,11.344911,0.074876,13.000000,-0.140115,71.032888,1458.303029,1022.672276
0.078,11.490702,0.075839,13.000000,-0.140115,71.135118,1457.907905,1021.649976
0.079,11.636472,0.076801,13.000000,-0.153306,71.237245,1457.700978,1020.760610
0.080,11.782202,0.077763,13.000000,-0.153306,71.339284,1457.305579,1019.740221
0.081,11.927927,0.078724,13.000000,-0.176578,71.441221,1457.242813,1018.953567
0.082,12.073611,0.079686,13.000000,-0.176434,71.543079,1456.845145,1017.933546
0.083,12.219265,0.080647,13.000000,-0.182591,71.644836,1456.537541,1016.977556
0.084,12.364868,0.081608,13.000000,-0.174622,71.746496,1456.027388,1015.881255
0.085,12.510431,0.082569,13.000000,-0.174622,71.848048,1455.631225,1014.865744
0.086,12.655971,0.083529,13.000000,-0.186590,71.949497,1455.406659,1013.970924
0.087,12.801470,0.084490,13.000000,-0.185188,72.050857,1454.990074,1012.943302
0.088,12.946919,0.085450,13.000000,-0.177679,72.152115,1454.485499,1011.855636
0.089,13.092328,0.086409,13.000000,-0.177939,72.253264,1454.092381,1010.846754
0.090,13.237698,0.087369,13.000000,-0.177939,72.354312,1453.695337,1009.836275
0.091,13.383027,0.088328,13.000000,-0.177349,72.455259,1453.289607,1008.820901
0.092,13.528325,0.089287,13.000000,-0.183391,72.556104,1452.979307,1007.872871
0.093,13.673581,0.090246,13.000000,-0.182391,72.656855,1452.567330,1006.855363
0.094,13.818798,0.091204,13.000000,-0.182331,72.757504,1452.168730,1005.848275
0.095,13.963975,0.092162,13.000000,-0.182331,72.858052,1451.770814,1004.842791
0.096,14.109134,0.093120,13.000000,-0.197187,72.958500,1451.587509,1003.986873
0.097,14.254240,0.094078,13.000000,-0.188170,73.058862,1451.058866,1002.893081
0.098,14.399306,0.095035,13.000000,-0.188170,73.159115,1450.660449,1001.890551
0.099,14.544332,0.095993,13.000000,-0.188170,73.259268,1450.261852,1000.889024
0.100,14.689318,0.096950,13.000000,-0.188170,73.359320,1449.863075,999.888498
0.101,14.834266,0.097906,13.000000,-0.189014,73.459273,1449.476360,998.897408
0.102,14.979180,0.098863,13.000000,-0.193590,73.559127,1449.143687,997.944637
0.103,15.124070,0.099819,13.000000,-0.203875,73.658885,1448.893861,997.049900
