time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.296878,0.001959,13.000000,0.112975,62.955200,2968.778976,2201.836491
0.002,0.593623,0.003918,13.000000,0.105576,63.175220,2967.446935,2197.584071
0.003,0.890230,0.005876,13.000000,0.099627,63.394816,2966.074671,2193.311139
0.004,1.186630,0.007832,13.000000,0.119559,63.613984,2964.000306,2188.529138
0.005,1.482829,0.009787,13.000000,0.136986,63.832675,2961.991082,2183.806786
0.006,1.778816,0.011740,13.000000,0.158506,64.050894,2959.868020,2179.012004
0.007,2.074653,0.013693,13.000000,0.156863,64.268634,2958.372240,2174.690052
0.008,2.370411,0.015645,13.000000,0.129338,64.485942,2957.580324,2170.894384
0.009,2.666022,0.017596,13.000000,0.126687,64.702871,2956.110023,2166.608838
0.010,2.961388,0.019545,13.000000,0.160012,64.919372,2953.655232,2161.612314
0.011,3.256582,0.021493,13.000000,0.166072,65.135374,2951.942962,2157.171078
0.012,3.551590,0.023440,13.000000,0.177654,65.350932,2950.077473,2152.628283
0.013,3.846449,0.025387,13.000000,0.175214,65.566036,2948.594631,2148.375001
0.014,4.141134,0.027331,13.000000,0.182202,65.780715,2946.851289,2143.941646
0.015,4.435673,0.029275,13.000000,0.179191,65.994952,2945.381320,2139.717152
0.016,4.730045,0.031218,13.000000,0.182841,66.208766,2943.726413,2135.367867
0.017,5.024271,0.033160,13.000000,0.179749,66.422146,2942.255949,2131.162109
0.018,5.318400,0.035101,13.000000,0.158196,66.635105,2941.294715,2127.333976
0.019,5.612387,0.037042,13.000000,0.153502,66.847682,2939.866591,2123.176324
0.020,5.906199,0.038981,13.000000,0.160380,67.059844,2938.116361,2118.795526
0.021,6.199855,0.040919,13.000000,0.160111,67.271568,2936.562725,2114.566432
0.022,6.493390,0.042856,13.000000,0.147309,67.482869,2935.356242,2110.596440
0.023,6.786766,0.044793,13.000000,0.148682,67.693774,2933.754286,2106.350878
0.024,7.079928,0.046728,13.000000,0.168992,67.904255,2931.622482,2101.735054
0.025,7.372902,0.048661,13.000000,0.180207,68.114274,2929.741975,2097.310368
0.026,7.665710,0.050594,13.000000,0.183730,68.323852,2928.074485,2093.048372
0.027,7.958369,0.052525,13.000000,0.180526,68.533004,2926.593760,2088.929408
0.028,8.250862,0.054456,13.000000,0.184008,68.741744,2924.924183,2084.684960
0.029,8.543196,0.056385,13.000000,0.184221,68.950060,2923.344787,2080.514376
0.030,8.835382,0.058314,13.000000,0.180956,69.157959,2921.861815,2076.421693
0.031,9.127437,0.060241,13.000000,0.171818,69.365450,2920.543133,2072.454645
0.032,9.419338,0.062168,13.000000,0.170111,69.572544,2919.013852,2068.346894
0.033,9.711086,0.064093,13.000000,0.168619,69.779228,2917.477173,2064.243061
0.034,10.002633,0.066017,13.000000,0.183444,69.985502,2915.477235,2059.821084
