time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.066,19.310089,0.127447,13.000000,-0.225278,76.413339,2875.912723,1939.438762
0.067,19.597509,0.129344,13.000000,-0.221820,76.607144,2874.192492,1935.493527
0.068,19.884743,0.131239,13.000000,-0.214127,76.800554,2872.344618,1931.471455
0.069,20.171796,0.133134,13.000000,-0.207401,76.993563,2870.523596,1927.476754
0.070,20.458631,0.135027,13.000000,-0.188953,77.186172,2868.351082,1923.255614
0.071,20.745311,0.136919,13.000000,-0.191673,77.378360,2866.808188,1919.466263
0.072,21.031827,0.138810,13.000000,-0.190637,77.570169,2865.151716,1915.609364
0.073,21.318187,0.140700,13.000000,-0.193146,77.761593,2863.599941,1911.831059
0.074,21.604390,0.142589,13.000000,-0.195339,77.952639,2862.037475,1908.053998
0.075,21.890409,0.144477,13.000000,-0.187946,78.143308,2860.185763,1904.092761
0.076,22.176292,0.146364,13.000000,-0.197076,78.333581,2858.829233,1900.469895
0.077,22.462055,0.148250,13.000000,-0.211342,78.523492,2857.626667,1896.956985
0.078,22.747692,0.150135,13.000000,-0.223815,78.713053,2856.369594,1893.415242
0.079,23.033160,0.152019,13.000000,-0.222154,78.902259,2854.684934,1889.597900
0.080,23.318476,0.153902,13.000000,-0.225716,79.091084,2853.156776,1885.892632
0.081,23.603628,0.155784,13.000000,-0.225716,79.279539,2851.519547,1882.123536
0.082,23.888624,0.157665,13.000000,-0.228438,79.467617,2849.963541,1878.416425
0.083,24.173450,0.159545,13.000000,-0.226197,79.655325,2848.255471,1874.617433
0.084,24.458124,0.161424,13.000000,-0.230520,79.842653,2846.745629,1870.957330
0.085,24.742618,0.163301,13.000000,-0.225038,80.029616,2844.935902,1867.108445
0.086,25.026922,0.165178,13.000000,-0.216941,80.216194,2843.044570,1863.214930
0.087,25.311021,0.167053,13.000000,-0.203577,80.402383,2840.990368,1859.223883
0.088,25.594958,0.168927,13.000000,-0.204460,80.588174,2839.369836,1855.525723
0.089,25.878752,0.170800,13.000000,-0.211514,80.773595,2837.937149,1851.958398
