time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.066,11.920560,0.078676,10.000000,0.535306,-37.864220,1809.646490,1131.289140
0.067,12.101545,0.079870,10.000000,0.532529,-37.751153,1809.846289,1130.186234
0.068,12.282529,0.081065,10.000000,0.542668,-37.638195,1809.839324,1128.955277
0.069,12.463504,0.082259,10.000000,0.557815,-37.525361,1809.751784,1127.675459
0.070,12.644456,0.083453,10.000000,0.581849,-37.412655,1809.521105,1126.308053
0.071,12.825431,0.084648,10.000000,0.577459,-37.300085,1809.746906,1125.226264
0.072,13.006434,0.085842,10.000000,0.569385,-37.187623,1810.032352,1124.182388
0.073,13.187454,0.087037,10.000000,0.568608,-37.075266,1810.200646,1123.066578
0.074,13.368501,0.088232,10.000000,0.561647,-36.963021,1810.468961,1122.013739
0.075,13.549563,0.089427,10.000000,0.561843,-36.850880,1810.622086,1120.890373
0.076,13.730671,0.090622,10.000000,0.543315,-36.738852,1811.078177,1119.955371
0.077,13.911821,0.091818,10.000000,0.526965,-36.626917,1811.499865,1118.999521
0.078,14.092969,0.093014,10.000000,0.537803,-36.515078,1811.481734,1117.772754
0.079,14.274118,0.094209,10.000000,0.547278,-36.403362,1811.485485,1116.560831
0.080,14.455258,0.095405,10.000000,0.561847,-36.291766,1811.406366,1115.299196
0.081,14.636414,0.096600,10.000000,0.562397,-36.180297,1811.554807,1114.178996
0.082,14.817586,0.097796,10.000000,0.561799,-36.068939,1811.722120,1113.071408
0.083,14.998764,0.098992,10.000000,0.568259,-35.957693,1811.774619,1111.894339
0.084,15.179937,0.100188,10.000000,0.580191,-35.846564,1811.737815,1110.663732
0.085,15.361110,0.101383,10.000000,0.590623,-35.735558,1811.725241,1109.449349
0.086,15.542314,0.102579,10.000000,0.580895,-35.624673,1812.042045,1108.437785
0.087,15.723560,0.103775,10.000000,0.564952,-35.513889,1812.461095,1107.489376
0.088,15.904802,0.104972,10.000000,0.577299,-35.403201,1812.417442,1106.259016
0.089,16.086042,0.106168,10.000000,0.588095,-35.292635,1812.398964,1105.045402
0.090,16.267292,0.107364,10.000000,0.591251,-35.182190,1812.505710,1103.909399
0.091,16.448565,0.108561,10.000000,0.587727,-35.071860,1812.722319,1102.841329
0.092,16.629852,0.109757,10.000000,0.588235,-34.961635,1812.872899,1101.734006
0.093,16.811140,0.110954,10.000000,0.597656,-34.851522,1812.876823,1100.538657
0.094,16.992450,0.112150,10.000000,0.593327,-34.741528,1813.107332,1099.482005
0.095,17.173783,0.113347,10.000000,0.589542,-34.631639,1813.329209,1098.420970
0.096,17.355148,0.114544,10.000000,0.579950,-34.521857,1813.647394,1097.419071
0.097,17.536565,0.115741,10.000000,0.557947,-34.412175,1814.171457,1096.542282
0.098,17.717997,0.116939,10.000000,0.558608,-34.302580,1814.321154,1095.439725
0.099,17.899434,0.118136,10.000000,0.565469,-34.193096,1814.368213,1094.276269
0.100,18.080867,0.119334,10.000000,0.577751,-34.083728,1814.325224,1093.059766
0.101,18.262287,0.120531,10.000000,0.594773,-33.974481,1814.203203,1091.797081
0.102,18.443738,0.121729,10.000000,0.585759,-33.865361,1814.513832,1090.796017
0.103,18.625211,0.122926,10.000000,0.582925,-33.756341,1814.722074,1089.734153
0.104,18.806682,0.124124,10.000000,0.593014,-33.647427,1814.715182,1088.544126
0.105,18.988165,0.125322,10.000000,0.595552,-33.538631,1814.834119,1087.430798
0.106,19.169672,0.126520,10.000000,0.591487,-33.429948,1815.063452,1086.384603
0.107,19.351216,0.127718,10.000000,0.578543,-33.321368,1815.441645,1085.428250
0.108,19.532790,0.128916,10.000000,0.570333,-33.212884,1815.741260,1084.425515
0.109,19.714392,0.130115,10.000000,0.563154,-33.104501,1816.024085,1083.413466
0.110,19.896011,0.131314,10.000000,0.563161,-32.996219,1816.186803,1082.330575
0.111,20.077625,0.132512,10.000000,0.575733,-32.888045,1816.138629,1081.123112
0.112,20.259221,0.133711,10.000000,0.596337,-32.779991,1815.955108,1079.836543
0.113,20.440829,0.134909,10.000000,0.598457,-32.672066,1816.082165,1078.736094
0.114,20.622471,0.136108,10.000000,0.587744,-32.564251,1816.425612,1077.765072
0.115,20.804114,0.137307,10.000000,0.597227,-32.456534,1816.428919,1076.593064
0.116,20.985770,0.138506,10.000000,0.599235,-32.348933,1816.558308,1075.496975
0.117,21.167437,0.139705,10.000000,0.602526,-32.241442,1816.666122,1074.389154
0.118,21.349120,0.140904,10.000000,0.602526,-32.134061,1816.829710,1073.315350
0.119,21.530819,0.142103,10.000000,0.602526,-32.026788,1816.993492,1072.242620
0.120,21.712543,0.143303,10.000000,0.597586,-31.919623,1817.241286,1071.220370
0.121,21.894307,0.144502,10.000000,0.584016,-31.812559,1817.636008,1070.285433
0.122,22.076095,0.145702,10.000000,0.579115,-31.705589,1817.884065,1069.264741
0.123,22.257903,0.146902,10.000000,0.577116,-31.598721,1818.083113,1068.216048
0.124,22.439742,0.148102,10.000000,0.569085,-31.491957,1818.385209,1067.228723
0.125,22.621620,0.149303,10.000000,0.555780,-31.385292,1818.777770,1066.295125
0.126,22.803534,0.150503,10.000000,0.544147,-31.278721,1819.142494,1065.345741
0.127,22.985497,0.151704,10.000000,0.525083,-31.172245,1819.634897,1064.471617
0.128,23.167459,0.152905,10.000000,0.536157,-31.065856,1819.612485,1063.296986
0.129,23.349420,0.154106,10.000000,0.545840,-30.959584,1819.613681,1062.137444
0.130,23.531394,0.155307,10.000000,0.548022,-30.853428,1819.743323,1061.054060
0.131,23.713404,0.156508,10.000000,0.537364,-30.747381,1820.093539,1060.100166
0.132,23.895461,0.157710,10.000000,0.519057,-30.641428,1820.575841,1059.223715
0.133,24.077518,0.158912,10.000000,0.529456,-30.535564,1820.565121,1058.061078
0.134,24.259573,0.160113,10.000000,0.539981,-30.429816,1820.552032,1056.898349
0.135,24.441640,0.161315,10.000000,0.542899,-30.324183,1820.669884,1055.812840
0.136,24.623730,0.162517,10.000000,0.539168,-30.218660,1820.902621,1054.794915
0.137,24.805832,0.163718,10.000000,0.542189,-30.113238,1821.019015,1053.710487
0.138,24.987963,0.164921,10.000000,0.535363,-30.007924,1821.305853,1052.725614
0.139,25.170115,0.166123,10.000000,0.532579,-29.902709,1821.523152,1051.701304
0.140,25.352289,0.167325,10.000000,0.530145,-29.797597,1821.734696,1050.674520
0.141,25.534472,0.168528,10.000000,0.534300,-29.692587,1821.832166,1049.582871
