time,Vin,Pw,Force
0.000000,0.000000,0.000000,0.024873561
0.001000,0.000000,0.000000,0.022318193
0.002000,0.000000,0.000000,0.012636839
0.003000,0.000000,0.000000,0.011619183
0.004000,0.000000,0.000000,0.017012595
0.005000,0.000000,0.000000,0.002878694
0.006000,0.000000,0.000000,-0.003195902
0.007000,0.000000,0.000000,0.013089260
0.008000,0.000000,0.000000,0.013089260
0.009000,0.000000,0.000000,0.011554351
0.010000,0.000000,0.000000,0.004389539
0.011000,0.000000,0.000000,0.022484633
0.012000,0.000000,0.000000,0.022484633
0.013000,0.000000,0.000000,0.023751310
0.014000,0.000000,0.000000,0.021336969
0.015000,0.000000,0.000000,0.031792393
0.016000,0.000000,0.000000,0.031656325
0.017000,0.000000,0.000000,0.031656325
0.018000,0.000000,0.000000,0.011913182
0.019000,0.000000,0.000000,0.010986463
0.020000,0.000000,0.000000,0.016459385
0.021000,0.000000,0.000000,0.013651608
0.022000,0.000000,0.000000,0.013651608
0.023000,0.000000,0.000000,0.011505164
0.024000,0.000000,0.000000,0.016912904
0.025000,0.000000,0.000000,0.021641087
0.026000,0.000000,0.000000,0.023106449
0.027000,0.000000,0.000000,0.023106449
0.028000,0.000000,0.000000,0.025016234
0.029000,0.000000,0.000000,0.022442938
0.030000,0.000000,0.000000,0.020193011
0.031000,0.000000,0.000000,0.005518597
0.032000,0.000000,0.000000,0.005518597
0.033000,0.000000,0.000000,0.023347757
0.034000,0.000000,0.000000,0.027267313
0.035000,0.000000,0.000000,0.036977508
0.036000,0.000000,0.000000,0.022264220
0.037000,0.000000,0.000000,0.022264220
0.038000,0.000000,0.000000,0.024372380
0.039000,0.000000,0.000000,0.028163178
0.040000,0.000000,0.000000,0.025194425
0.041000,0.000000,0.000000,0.025822848
0.042000,0.000000,0.000000,0.025822848
0.043000,0.000000,0.000000,0.015316021
0.044000,0.000000,0.000000,0.001395319
0.045000,0.000000,0.000000,-0.004492872
0.046000,0.000000,0.000000,-0.007069686
0.047000,0.000000,0.000000,-0.007069686
0.048000,0.000000,0.000000,-0.004335518
0.049000,0.000000,0.000000,0.003062820
0.050000,0.000000,0.000000,-0.015601285
0.051000,0.000000,0.000000,-0.034411223
0.052000,0.000000,0.000000,-0.034411223
0.053000,0.000000,0.000000,-0.025237138
0.054000,0.000000,0.000000,-0.021495410
0.055000,0.000000,0.000000,-0.018223881
0.056000,0.000000,0.000000,-0.001875265
0.057000,0.000000,0.000000,-0.001875265
0.058000,0.000000,0.000000,-0.005858188
0.059000,0.000000,0.000000,-0.009692557
0.060000,0.000000,0.000000,-0.011834226
0.061000,0.000000,0.000000,-0.003493572
0.062000,0.000000,0.000000,-0.002484221
0.063000,0.000000,0.000000,-0.001601708
0.064000,0.000000,0.000000,-0.007113281
