time,Vin,Force
0.000000,0.000000,-0.002482728
0.001000,0.000000,-0.002482728
0.002000,0.000000,-0.002482728
0.003000,0.000000,-0.002482728
0.004000,0.000000,0.007953742
0.005000,0.000000,0.015394899
0.006000,0.000000,0.015617788
0.007000,0.000000,0.015193488
0.008000,0.000000,0.015193488
0.009000,0.000000,0.015193488
0.010000,0.000000,-0.013388526
0.011000,0.000000,-0.019298625
0.012000,0.000000,-0.027979701
0.013000,0.000000,-0.019291650
0.014000,0.000000,-0.027276292
0.015000,0.000000,-0.034257554
0.016000,0.000000,-0.029217598
0.017000,0.000000,-0.023388538
0.018000,0.000000,-0.012008794
0.019000,0.000000,-0.020908627
0.020000,0.000000,-0.034973259
0.021000,0.000000,-0.029764728
0.022000,0.000000,-0.042716470
0.023000,0.000000,-0.042716470
0.024000,0.000000,-0.042716470
0.025000,0.000000,-0.042716470
0.026000,0.000000,0.013632250
0.027000,0.000000,0.026643010
0.028000,0.000000,0.031735604
0.029000,0.000000,0.029905059
0.030000,0.000000,0.009454991
0.031000,0.000000,0.005778204
0.032000,0.000000,-0.011639994
0.033000,0.000000,-0.033152542
0.034000,0.000000,-0.026829003
0.035000,0.000000,-0.015016917
0.036000,0.000000,0.009834348
0.037000,0.000000,0.009834348
0.038000,0.000000,0.023338628
0.039000,0.000000,0.022563278
0.040000,0.000000,0.015602176
0.041000,0.000000,0.015971122
0.042000,0.000000,0.016121600
0.043000,0.000000,0.009969983
0.044000,0.000000,0.010874586
0.045000,0.000000,0.017948699
0.046000,0.000000,0.018554523
0.047000,0.000000,0.012097176
0.048000,0.000000,0.012097176
0.049000,0.000000,0.012097176
0.050000,0.000000,0.012097176
0.051000,0.000000,-0.020774886
0.052000,0.000000,-0.022289954
0.053000,0.000000,-0.022289954
0.054000,0.000000,-0.006712860
0.055000,0.000000,-0.003711829
0.056000,0.000000,-0.016853726
0.057000,0.000000,-0.018861541
0.058000,0.000000,-0.014333861
0.059000,0.000000,-0.022941518
0.060000,0.000000,-0.030467504
0.061000,0.000000,-0.005891548
0.062000,0.000000,0.003289459
0.063000,0.000000,0.011316747
0.064000,0.000000,0.018335296
0.065000,0.000000,0.024471869
0.066000,0.000000,0.016468497
0.067000,0.000000,0.022839658
0.068000,0.000000,0.015843825
0.069000,0.000000,0.003443929
0.070000,0.000000,-0.013680935
0.071000,0.000000,-0.011118809
0.072000,0.000000,-0.007564110
0.073000,0.000000,-0.007564110
0.074000,0.000000,-0.007564110
0.075000,0.000000,-0.007564110
0.076000,0.000000,-0.007564110
0.077000,0.000000,0.003362330
0.078000,0.000000,0.017663646
0.079000,0.000000,0.011318250
0.080000,0.000000,0.011318250
0.081000,0.000000,-0.005855624
0.082000,0.000000,0.003320869
0.083000,0.000000,-0.001222161
0.084000,0.000000,-0.011477482
0.085000,0.000000,-0.020444081
0.086000,0.000000,-0.022572176
0.087000,0.000000,-0.005011834
0.088000,0.000000,-0.008507745
0.089000,0.000000,-0.005281162
0.090000,0.000000,0.003823142
0.091000,0.000000,0.001472858
0.092000,0.000000,0.009728427
0.093000,0.000000,0.023229756
0.094000,0.000000,0.035034458
0.095000,0.000000,0.039072551
0.096000,0.000000,0.040196564
0.097000,0.000000,0.037302783
0.098000,0.000000,0.041055830
0.099000,0.000000,0.041055830
0.100000,0.000000,0.041055830
0.101000,0.000000,0.047206326
0.102000,0.000000,0.021455267
0.103000,0.000000,0.015920877
0.104000,0.000000,0.009794484
0.105000,0.000000,0.004437956
0.106000,0.000000,-0.006528637
0.107000,0.000000,-0.030783876
0.108000,0.000000,-0.049890733
0.109000,0.000000,-0.054030181
