time,u_in,Vin,f_cmd,f_m,integral,uff
0.081,3.435669,3.300000,4.251427,0.019650,0.334253,1.257582
0.082,3.427886,3.300000,4.254467,0.034411,0.338473,1.258167
0.083,3.443225,3.300000,4.257504,0.016142,0.342715,1.258751
0.084,3.454644,3.300000,4.260538,0.003472,0.346972,1.259334
0.085,3.454064,3.300000,4.263570,0.007939,0.351227,1.259917
0.086,3.455883,3.300000,4.266599,0.008978,0.355485,1.260500
0.087,3.455785,3.300000,4.269626,0.012754,0.359742,1.261082
0.088,3.451617,3.300000,4.272650,0.022338,0.363992,1.261663
0.089,3.452689,3.300000,4.275671,0.024435,0.368244,1.262244
0.090,3.458343,3.300000,4.278689,0.019986,0.372502,1.262825
0.091,3.462692,3.300000,4.281705,0.017397,0.376767,1.263405
0.092,3.467724,3.300000,4.284718,0.013832,0.381037,1.263984
0.093,3.468042,3.300000,4.287728,0.016998,0.385308,1.264563
0.094,3.481833,3.300000,4.290736,0.000916,0.389598,1.265141
0.095,3.489811,3.300000,4.293740,-0.006861,0.393899,1.265719
0.096,3.488622,3.300000,4.296742,-0.001547,0.398197,1.266296
0.097,3.491980,3.300000,4.299740,-0.002732,0.402499,1.266873
0.098,3.494508,3.300000,4.302736,-0.002732,0.406805,1.267449
0.099,3.497033,3.300000,4.305729,-0.002732,0.411113,1.268025
0.100,3.499557,3.300000,4.308718,-0.002732,0.415425,1.268600
0.101,3.527693,3.300000,4.311705,-0.039317,0.419776,1.269174
0.102,3.509053,3.300000,4.314688,-0.009088,0.424099,1.269748
0.103,3.502941,3.300000,4.317669,0.003241,0.428414,1.270321
0.104,3.502308,3.300000,4.320646,0.007738,0.432727,1.270893
0.105,3.510867,3.300000,4.323620,-0.000897,0.437051,1.271465
0.106,3.513936,3.300000,4.326591,-0.001691,0.441380,1.272037
0.107,3.512864,3.300000,4.329559,0.003425,0.445706,1.272607
0.108,3.520304,3.300000,4.332523,-0.003619,0.450042,1.273178
0.109,3.532256,3.300000,4.335484,-0.017110,0.454394,1.273747
0.110,3.534222,3.300000,4.338442,-0.016339,0.458749,1.274316
0.111,3.531855,3.300000,4.341397,-0.009382,0.463100,1.274884
0.112,3.534496,3.300000,4.344348,-0.009582,0.467454,1.275452
0.113,3.525134,3.300000,4.347296,0.007361,0.471794,1.276018
0.114,3.520445,3.300000,4.350240,0.017623,0.476127,1.276585
0.115,3.512256,3.300000,4.353181,0.032879,0.480447,1.277150
0.116,3.514204,3.300000,4.356118,0.033651,0.484769,1.277715
0.117,3.520616,3.300000,4.359052,0.028043,0.489100,1.278279
0.118,3.525689,3.300000,4.361983,0.024347,0.493438,1.278843
0.119,3.531279,3.300000,4.364909,0.019908,0.497783,1.279406
0.120,3.532078,3.300000,4.367832,0.022310,0.502128,1.279968
0.121,3.528687,3.300000,4.370752,0.030694,0.506469,1.280529
0.122,3.531163,3.300000,4.373668,0.030694,0.510812,1.281090
0.123,3.533636,3.300000,4.376580,0.030694,0.515157,1.281650
0.124,3.536107,3.300000,4.379488,0.030694,0.519506,1.282209
0.125,3.548573,3.300000,4.382393,0.016414,0.523872,1.282768
0.126,3.557849,3.300000,4.385294,0.006689,0.528251,1.283326
0.127,3.566268,3.300000,4.388191,-0.001814,0.532641,1.283883
