time,u_in,Vin,f_cmd,f_m,integral,uff
0.085,0.265050,0.265050,4.00,4.281208,0.218963,1.209231
0.086,0.138914,0.138914,4.00,4.461337,0.218502,1.209231
0.087,0.080983,0.080983,4.00,4.544018,0.217958,1.209231
0.088,0.030318,0.030318,4.00,4.616309,0.217341,1.209231
0.089,-0.013995,0.000000,4.00,4.679516,0.216662,1.209231
0.090,-0.048354,0.000000,4.00,4.728497,0.215933,1.209231
0.091,-0.129359,0.000000,4.00,4.844097,0.215089,1.209231
0.092,-0.171250,0.000000,4.00,4.903812,0.214186,1.209231
0.093,-0.216691,0.000000,4.00,4.968589,0.213217,1.209231
0.094,-0.252040,0.000000,4.00,5.018943,0.212198,1.209231
0.095,-0.282965,0.000000,4.00,5.062969,0.211135,1.209231
0.096,-0.345675,0.000000,4.00,5.152390,0.209983,1.209231
0.097,-0.378069,0.000000,4.00,5.198496,0.208784,1.209231
0.098,-0.402013,0.000000,4.00,5.232525,0.207552,1.209231
0.099,-0.431764,0.000000,4.00,5.274845,0.206277,1.209231
0.100,-0.448998,0.000000,4.00,5.299280,0.204978,1.209231
0.101,-0.481562,0.000000,4.00,5.345607,0.203632,1.209231
0.102,-0.501376,0.000000,4.00,5.373716,0.202258,1.209231
0.103,-0.528100,0.000000,4.00,5.411693,0.200847,1.209231
0.104,-0.537708,0.000000,4.00,5.425214,0.199421,1.209231
0.105,-0.546127,0.000000,4.00,5.437036,0.197984,1.209231
0.106,-0.544710,0.000000,4.00,5.434807,0.196549,1.209231
0.107,-0.526358,0.000000,4.00,5.408388,0.195141,1.209231
0.108,-0.518660,0.000000,4.00,5.397192,0.193744,1.209231
0.109,-0.503149,0.000000,4.00,5.374837,0.192369,1.209231
0.110,-0.480804,0.000000,4.00,5.342724,0.191026,1.209231
0.111,-0.474478,0.000000,4.00,5.333496,0.189693,1.209231
0.112,-0.455779,0.000000,4.00,5.306597,0.188386,1.209231
0.113,-0.443830,0.000000,4.00,5.289343,0.187097,1.209231
0.114,-0.433398,0.000000,4.00,5.274257,0.185823,1.209231
0.115,-0.415493,0.000000,4.00,5.248500,0.184574,1.209231
0.116,-0.395453,0.000000,4.00,5.219697,0.183354,1.209231
0.117,-0.354283,0.000000,4.00,5.160718,0.182194,1.209231
0.118,-0.337558,0.000000,4.00,5.136663,0.181057,1.209231
0.119,-0.314149,0.000000,4.00,5.103064,0.179954,1.209231
0.120,-0.293693,0.000000,4.00,5.073687,0.178880,1.209231
0.121,-0.271420,0.000000,4.00,5.041719,0.177839,1.209231
0.122,-0.234846,0.000000,4.00,4.989330,0.176849,1.209231
0.123,-0.215587,0.000000,4.00,4.961679,0.175888,1.209231
0.124,-0.189959,0.000000,4.00,4.924937,0.174963,1.209231
0.125,-0.163162,0.000000,4.00,4.886528,0.174076,1.209231
0.126,-0.135341,0.000000,4.00,4.846663,0.173229,1.209231
0.127,-0.081052,0.000000,4.00,4.768997,0.172460,1.209231
0.128,-0.039953,0.000000,4.00,4.710183,0.171750,1.209231
0.129,-0.018831,0.000000,4.00,4.679912,0.171070,1.209231
0.130,0.008428,0.008428,4.00,4.640878,0.170429,1.209231
0.131,0.032258,0.032258,4.00,4.606750,0.169823,1.209231
0.132,0.057487,0.057487,4.00,4.570627,0.169252,1.209231
0.133,0.102720,0.102720,4.00,4.505935,0.168746,1.209231
0.134,0.127888,0.127888,4.00,4.469914,0.168276,1.209231
0.135,0.158687,0.158687,4.00,4.425854,0.167850,1.209231
0.136,0.194413,0.194413,4.00,4.374764,0.167476,1.209231
0.137,0.212452,0.212452,4.00,4.348944,0.167127,1.209231
0.138,0.259637,0.259637,4.00,4.281497,0.166845,1.209231
0.139,0.278278,0.278278,4.00,4.254830,0.166590,1.209231
0.140,0.298974,0.298974,4.00,4.225232,0.166365,1.209231
0.141,0.334665,0.334665,4.00,4.174220,0.166191,1.209231
0.142,0.365873,0.365873,4.00,4.129618,0.166061,1.209231
0.143,0.421432,0.421432,4.00,4.050242,0.166011,1.209231
0.144,0.450543,0.450543,4.00,4.008654,0.166002,1.209231
0.145,0.484797,0.484797,4.00,3.959725,0.166043,1.209231
0.146,0.532346,0.532346,4.00,3.891812,0.166151,1.209231
0.147,0.569529,0.569529,4.00,3.838717,0.166312,1.209231
0.148,0.622771,0.622771,4.00,3.762692,0.166549,1.209231
0.149,0.644208,0.644208,4.00,3.732105,0.166817,1.209231
0.150,0.680553,0.680553,4.00,3.680230,0.167137,1.209231
0.151,0.712339,0.712339,4.00,3.634873,0.167502,1.209231
0.152,0.774031,0.774031,4.00,3.546806,0.167955,1.209231
0.153,0.802890,0.802890,4.00,3.505649,0.168450,1.209231
0.154,0.828133,0.828133,4.00,3.469665,0.168980,1.209231
0.155,0.845814,0.845814,4.00,3.444485,0.169536,1.209231
0.156,0.878605,0.878605,4.00,3.397727,0.170138,1.209231
0.157,0.898762,0.898762,4.00,3.369021,0.170769,1.209231
0.158,0.925194,0.925194,4.00,3.331356,0.171438,1.209231
0.159,0.943918,0.943918,4.00,3.304708,0.172133,1.209231
0.160,0.969097,0.969097,4.00,3.268841,0.172864,1.209231
0.161,1.022965,1.022965,4.00,3.192004,0.173672,1.209231
0.162,1.042639,1.042639,4.00,3.164017,0.174508,1.209231
0.163,1.064253,1.064253,4.00,3.133264,0.175375,1.209231
0.164,1.083164,1.083164,4.00,3.106375,0.176268,1.209231
0.165,1.112909,1.112909,4.00,3.064016,0.177204,1.209231
0.166,1.148958,1.148958,4.00,3.012658,0.178192,1.209231
0.167,1.174867,1.174867,4.00,2.975793,0.179216,1.209231
0.168,1.188737,1.188737,4.00,2.956126,0.180260,1.209231
0.169,1.209678,1.209678,4.00,2.926365,0.181333,1.209231
0.170,1.232402,1.232402,4.00,2.894060,0.182439,1.209231
0.171,1.265730,1.265730,4.00,2.846613,0.183593,1.209231
0.172,1.290243,1.290243,4.00,2.811764,0.184781,1.209231
0.173,1.307295,1.307295,4.00,2.787577,0.185993,1.209231
0.174,1.326621,1.326621,4.00,2.760147,0.187233,1.209231
0.175,1.343535,1.343535,4.00,2.736163,0.188497,1.209231
0.176,1.404305,1.404305,4.00,2.649542,0.189847,1.209231
0.177,1.424697,1.424697,4.00,2.620608,0.191227,1.209231
0.178,1.446945,1.446945,4.00,2.589027,0.192638,1.209231
0.179,1.462019,1.462019,4.00,2.567697,0.194070,1.209231
0.180,1.511369,1.511369,4.00,2.497412,0.195573,1.209231
0.181,1.522791,1.522791,4.00,2.481312,0.197091,1.209231
0.182,1.545994,1.545994,4.00,2.448386,0.198643,1.209231
0.183,1.575102,1.575102,4.00,2.407031,0.200236,1.209231
0.184,1.596177,1.596177,4.00,2.377156,0.201859,1.209231
0.185,1.648211,1.648211,4.00,2.303064,0.203556,1.209231
0.186,1.673346,1.673346,4.00,2.267404,0.205288,1.209231
0.187,1.695347,1.695347,4.00,2.236225,0.207052,1.209231
0.188,1.719008,1.719008,4.00,2.202682,0.208849,1.209231
0.189,1.748518,1.748518,4.00,2.160787,0.210689,1.209231
0.190,1.801168,1.801168,4.00,2.085846,0.212603,1.209231
