time,Vin,Force
0.000000,0.000000,-0.164187078
0.001000,0.000000,-0.166399006
0.002000,0.000000,-0.187294333
0.003000,0.000000,-0.167752961
0.004000,0.000000,-0.163233601
0.005000,0.000000,-0.159282161
0.006000,0.000000,-0.162110459
0.007000,0.000000,-0.161251856
0.008000,0.000000,-0.157549450
0.009000,0.000000,-0.168547165
0.010000,0.000000,-0.159553862
0.011000,0.000000,-0.190480682
0.012000,0.000000,-0.189388458
0.013000,0.000000,-0.188433487
0.014000,0.000000,-0.181315336
0.015000,0.000000,-0.181374863
0.016000,0.000000,-0.157918812
0.017000,0.000000,-0.160918433
0.018000,0.000000,-0.169824296
0.019000,0.000000,-0.177611015
0.020000,0.000000,-0.190702411
0.021000,0.000000,-0.187813422
0.022000,0.000000,-0.174490005
0.023000,0.000000,-0.162840858
0.024000,0.000000,-0.152655586
0.025000,0.000000,-0.162599789
0.026000,0.000000,-0.155342747
0.027000,0.000000,-0.152382900
0.028000,0.000000,-0.162361370
0.029000,0.000000,-0.158519538
0.030000,0.000000,-0.161443669
0.031000,0.000000,-0.130905330
0.032000,0.000000,-0.149865936
0.033000,0.000000,-0.166443882
0.034000,0.000000,-0.168372211
0.035000,0.000000,-0.178314867
0.036000,0.000000,-0.159901888
0.037000,0.000000,-0.143802753
0.038000,0.000000,-0.135479473
0.039000,0.000000,-0.135015719
0.040000,0.000000,-0.140893428
0.041000,0.000000,-0.152315707
0.042000,0.000000,-0.149736250
0.043000,0.000000,-0.151792220
0.044000,0.000000,-0.161844917
0.045000,0.000000,-0.158067984
0.046000,0.000000,-0.154765674
0.047000,0.000000,-0.151878345
0.048000,0.000000,-0.158133823
0.049000,0.000000,-0.148540054
0.050000,0.000000,-0.135648341
0.051000,0.000000,-0.141446552
0.052000,0.000000,-0.146516139
0.053000,0.000000,-0.159528227
0.054000,0.000000,-0.162325603
0.055000,0.000000,-0.158488265
0.056000,0.000000,-0.148849956
0.057000,0.000000,-0.134139647
0.058000,0.000000,-0.116315575
0.059000,0.000000,-0.118260028
0.060000,0.000000,-0.113676948
0.061000,0.000000,-0.109669795
0.062000,0.000000,-0.118732566
