time,Vin,Force
0.000000,0.000000,0.316352923
0.001000,0.000000,0.305550811
0.002000,0.000000,0.308672502
0.003000,0.000000,0.296517912
0.004000,0.000000,0.300774711
0.005000,0.000000,0.310779770
0.006000,0.000000,0.313244371
0.007000,0.000000,0.315399261
0.008000,0.000000,0.316357320
0.009000,0.000000,0.319663097
0.010000,0.000000,0.314728201
0.011000,0.000000,0.312134509
0.012000,0.000000,0.308145683
0.013000,0.000000,0.307891980
0.014000,0.000000,0.317002657
0.015000,0.000000,0.312402081
0.016000,0.000000,0.314662817
0.017000,0.000000,0.316639460
0.018000,0.000000,0.307312412
0.019000,0.000000,0.303929549
0.020000,0.000000,0.307254974
0.021000,0.000000,0.322728884
0.022000,0.000000,0.336258286
0.023000,0.000000,0.328593483
0.024000,0.000000,0.322536361
0.025000,0.000000,0.323523586
0.026000,0.000000,0.324386751
0.027000,0.000000,0.318858263
0.028000,0.000000,0.316081361
0.029000,0.000000,0.324162930
0.030000,0.000000,0.337512124
0.031000,0.000000,0.349183809
0.032000,0.000000,0.353105601
0.033000,0.000000,0.333797083
0.034000,0.000000,0.327501550
0.035000,0.000000,0.327864830
0.036000,0.000000,0.334465645
0.037000,0.000000,0.327670606
0.038000,0.000000,0.321729456
0.039000,0.000000,0.311993099
0.040000,0.000000,0.314305229
0.041000,0.000000,0.316326808
0.042000,0.000000,0.324377533
0.043000,0.000000,0.325133388
0.044000,0.000000,0.320088900
0.045000,0.000000,0.315100496
0.046000,0.000000,0.310738953
0.047000,0.000000,0.306925498
0.048000,0.000000,0.297308070
0.049000,0.000000,0.305890201
0.050000,0.000000,0.308969243
0.051000,0.000000,0.311661362
0.052000,0.000000,0.314015178
0.053000,0.000000,0.328639577
0.054000,0.000000,0.340039673
0.055000,0.000000,0.332544181
0.056000,0.000000,0.332273786
0.057000,0.000000,0.320053859
0.058000,0.000000,0.321699400
0.059000,0.000000,0.322791799
0.060000,0.000000,0.330030110
0.061000,0.000000,0.336358827
0.062000,0.000000,0.341892254
0.063000,0.000000,0.339973202
0.064000,0.000000,0.338769248
0.065000,0.000000,0.331433402
0.066000,0.000000,0.312453035
0.067000,0.000000,0.302140997
0.068000,0.000000,0.303301614
0.069000,0.000000,0.300422762
0.070000,0.000000,0.291622492
0.071000,0.000000,0.296494468
0.072000,0.000000,0.294471028
0.073000,0.000000,0.316287754
0.074000,0.000000,0.318060202
0.075000,0.000000,0.325893102
0.076000,0.000000,0.326458506
0.077000,0.000000,0.333236044
0.078000,0.000000,0.326283088
0.079000,0.000000,0.314233114
0.080000,0.000000,0.309980569
0.081000,0.000000,0.318828786
0.082000,0.000000,0.332960196
0.083000,0.000000,0.351487079
0.084000,0.000000,0.375565753
0.085000,0.000000,0.363605922
0.086000,0.000000,0.365715378
0.087000,0.000000,0.361276567
0.088000,0.000000,0.351112368
0.089000,0.000000,0.317184857
0.090000,0.000000,0.318844571
0.091000,0.000000,0.320295719
0.092000,0.000000,0.315281325
0.093000,0.000000,0.323463430
0.094000,0.000000,0.336082696
0.095000,0.000000,0.341650822
0.096000,0.000000,0.346519238
0.097000,0.000000,0.363342241
0.098000,0.000000,0.365484832
0.099000,0.000000,0.375279297
0.100000,0.000000,0.382205019
0.101000,0.000000,0.369410873
0.102000,0.000000,0.351941302
0.103000,0.000000,0.349233392
0.104000,0.000000,0.368349274
0.105000,0.000000,0.376145848
0.106000,0.000000,0.370396305
0.107000,0.000000,0.360184385
0.108000,0.000000,0.353167309
0.109000,0.000000,0.356588520
0.110000,0.000000,0.365862994
0.111000,0.000000,0.367688818
0.112000,0.000000,0.369285203
0.113000,0.000000,0.365618172
0.114000,0.000000,0.361191577
0.115000,0.000000,0.363604428
0.116000,0.000000,0.353147702
0.117000,0.000000,0.356571377
0.118000,0.000000,0.362182096
0.119000,0.000000,0.358187290
0.120000,0.000000,0.354694487
0.121000,0.000000,0.345357416
0.122000,0.000000,0.349760047
0.123000,0.000000,0.339704661
0.124000,0.000000,0.351100824
0.125000,0.000000,0.342215346
0.126000,0.000000,0.334446451
0.127000,0.000000,0.346503380
0.128000,0.000000,0.341919105
0.129000,0.000000,0.340470622
0.130000,0.000000,0.351770531
0.131000,0.000000,0.361650451
0.132000,0.000000,0.361650451
0.133000,0.000000,0.376682291
0.134000,0.000000,0.364582152
0.135000,0.000000,0.354002561
0.136000,0.000000,0.351035626
0.137000,0.000000,0.348441527
0.138000,0.000000,0.349683933
0.139000,0.000000,0.353542878
0.140000,0.000000,0.363200079
0.141000,0.000000,0.377926906
0.142000,0.000000,0.378236734
0.143000,0.000000,0.390521283
0.144000,0.000000,0.382965270
0.145000,0.000000,0.370075588
0.146000,0.000000,0.365088857
0.147000,0.000000,0.354445592
0.148000,0.000000,0.348780208
0.149000,0.000000,0.340186348
0.150000,0.000000,0.332672424
0.151000,0.000000,0.332385913
0.152000,0.000000,0.332135406
0.153000,0.000000,0.313664887
0.154000,0.000000,0.290634193
0.155000,0.000000,0.283063991
0.156000,0.000000,0.282728274
0.157000,0.000000,0.292250594
0.158000,0.000000,0.290760455
0.159000,0.000000,0.294601599
0.160000,0.000000,0.299099209
0.161000,0.000000,0.296748447
0.162000,0.000000,0.300976276
0.163000,0.000000,0.304672821
0.164000,0.000000,0.287966682
0.165000,0.000000,0.287014875
0.166000,0.000000,0.286182676
0.167000,0.000000,0.291738239
0.168000,0.000000,0.302878854
0.169000,0.000000,0.309359296
0.170000,0.000000,0.305719214
0.171000,0.000000,0.302536558
0.172000,0.000000,0.301476723
0.173000,0.000000,0.311393564
0.174000,0.000000,0.313781034
0.175000,0.000000,0.315868485
0.176000,0.000000,0.320078968
0.177000,0.000000,0.327658183
0.178000,0.000000,0.328001780
0.179000,0.000000,0.328302199
0.180000,0.000000,0.309715311
0.181000,0.000000,0.309091904
0.182000,0.000000,0.311768608
0.183000,0.000000,0.307825763
0.184000,0.000000,0.304378390
0.185000,0.000000,0.295081041
0.186000,0.000000,0.280634113
0.187000,0.000000,0.280603744
0.188000,0.000000,0.286860376
0.189000,0.000000,0.286047591
0.190000,0.000000,0.291620129
0.191000,0.000000,0.270915617
0.192000,0.000000,0.259540139
0.193000,0.000000,0.262160517
0.194000,0.000000,0.277017978
