time,u_in,Vin,f_cmd,f_m,integral,uff
0.085,1.196968,1.196968,4.00,3.243032,0.271710,1.209231
0.086,1.094684,1.094684,4.00,3.345316,0.272365,1.209231
0.087,0.909001,0.909001,4.00,3.530999,0.272834,1.209231
0.088,0.805206,0.805206,4.00,3.634794,0.273199,1.209231
0.089,0.701887,0.701887,4.00,3.738113,0.273461,1.209231
0.090,0.592702,0.592702,4.00,3.847298,0.273614,1.209231
0.091,0.497237,0.497237,4.00,3.942763,0.273671,1.209231
0.092,0.310953,0.310953,4.00,4.129047,0.273542,1.209231
0.093,0.225762,0.225762,4.00,4.214238,0.273328,1.209231
0.094,0.144992,0.144992,4.00,4.295008,0.273033,1.209231
0.095,0.074373,0.074373,4.00,4.365627,0.272667,1.209231
0.096,-0.006222,0.000000,4.00,4.446222,0.272221,1.209231
0.097,-0.197974,0.000000,4.00,4.637974,0.271583,1.209231
0.098,-0.300894,0.000000,4.00,4.740894,0.270842,1.209231
0.099,-0.390880,0.000000,4.00,4.830880,0.270011,1.209231
0.100,-0.469558,0.000000,4.00,4.909558,0.269101,1.209231
0.101,-0.557198,0.000000,4.00,4.997198,0.268104,1.209231
0.102,-0.775193,0.000000,4.00,5.215193,0.266889,1.209231
0.103,-0.830710,0.000000,4.00,5.270710,0.265618,1.209231
0.104,-0.898100,0.000000,4.00,5.338100,0.264280,1.209231
0.105,-0.957021,0.000000,4.00,5.397021,0.262883,1.209231
0.106,-1.077135,0.000000,4.00,5.517135,0.261366,1.209231
0.107,-1.138690,0.000000,4.00,5.578690,0.259787,1.209231
0.108,-1.186228,0.000000,4.00,5.626228,0.258161,1.209231
0.109,-1.221508,0.000000,4.00,5.661508,0.256500,1.209231
0.110,-1.264921,0.000000,4.00,5.704921,0.254795,1.209231
0.111,-1.324290,0.000000,4.00,5.764290,0.253030,1.209231
0.112,-1.361071,0.000000,4.00,5.801071,0.251229,1.209231
0.113,-1.393229,0.000000,4.00,5.833229,0.249396,1.209231
0.114,-1.427630,0.000000,4.00,5.867630,0.247528,1.209231
0.115,-1.463991,0.000000,4.00,5.903991,0.245624,1.209231
0.116,-1.481965,0.000000,4.00,5.921965,0.243702,1.209231
0.117,-1.505215,0.000000,4.00,5.945215,0.241757,1.209231
