time,u_in,Vin,f_cmd,f_m,integral,uff
0.001,3.472246,3.300000,4.00,-0.331773,0.004332,1.209231
0.002,3.474980,3.300000,4.00,-0.335674,0.008667,1.209231
0.003,3.467302,3.300000,4.00,-0.324698,0.012992,1.209231
0.004,3.456190,3.300000,4.00,-0.308818,0.017301,1.209231
0.005,3.455272,3.300000,4.00,-0.307501,0.021608,1.209231
0.006,3.445674,3.300000,4.00,-0.293782,0.025902,1.209231
0.007,3.466299,3.300000,4.00,-0.323241,0.030225,1.209231
0.008,3.466303,3.300000,4.00,-0.323241,0.034549,1.209231
0.009,3.487006,3.300000,4.00,-0.352810,0.038902,1.209231
0.010,3.481573,3.300000,4.00,-0.345042,0.043247,1.209231
0.011,3.473070,3.300000,4.00,-0.332889,0.047579,1.209231
0.012,3.465637,3.300000,4.00,-0.322264,0.051902,1.209231
0.013,3.467934,3.300000,4.00,-0.325540,0.056227,1.209231
0.014,3.469943,3.300000,4.00,-0.328404,0.060556,1.209231
0.015,3.473233,3.300000,4.00,-0.333098,0.064889,1.209231
0.016,3.483374,3.300000,4.00,-0.347579,0.069236,1.209231
0.017,3.483445,3.300000,4.00,-0.347673,0.073584,1.209231
0.018,3.483507,3.300000,4.00,-0.347756,0.077932,1.209231
0.019,3.479164,3.300000,4.00,-0.341545,0.082273,1.209231
0.020,3.459402,3.300000,4.00,-0.313307,0.086587,1.209231
0.021,3.449292,3.300000,4.00,-0.298859,0.090885,1.209231
0.022,3.453649,3.300000,4.00,-0.305076,0.095191,1.209231
0.023,3.457458,3.300000,4.00,-0.310512,0.099501,1.209231
0.024,3.443196,3.300000,4.00,-0.290132,0.103791,1.209231
0.025,3.428618,3.300000,4.00,-0.269299,0.108061,1.209231
0.026,3.422379,3.300000,4.00,-0.260381,0.112321,1.209231
0.027,3.416925,3.300000,4.00,-0.252584,0.116573,1.209231
0.028,3.416556,3.300000,4.00,-0.252050,0.120826,1.209231
0.029,3.416233,3.300000,4.00,-0.251583,0.125077,1.209231
0.030,3.390970,3.300000,4.00,-0.215487,0.129293,1.209231
0.031,3.376271,3.300000,4.00,-0.194482,0.133487,1.209231
0.032,3.363419,3.300000,4.00,-0.176116,0.137663,1.209231
0.033,3.355938,3.300000,4.00,-0.165423,0.141829,1.209231
0.034,3.350041,3.300000,4.00,-0.156992,0.145986,1.209231
0.035,3.327731,3.300000,4.00,-0.125116,0.150111,1.209231
0.036,3.312185,3.300000,4.00,-0.102901,0.154214,1.209231
0.037,3.298592,3.298592,4.00,-0.083477,0.158297,1.209231
0.038,3.282310,3.282310,4.00,-0.060211,0.162357,1.209231
0.039,3.259278,3.259278,4.00,-0.027302,0.166385,1.209231
0.040,3.221531,3.221531,4.00,0.026628,0.170358,1.209231
0.041,3.192943,3.192943,4.00,0.067474,0.174291,1.209231
0.042,3.159151,3.159151,4.00,0.115753,0.178175,1.209231
0.043,3.147199,3.147199,4.00,0.132833,0.182042,1.209231
0.044,3.136750,3.136750,4.00,0.147766,0.185894,1.209231
0.045,3.082250,3.082250,4.00,0.225629,0.189669,1.209231
0.046,3.049175,3.049175,4.00,0.272883,0.193396,1.209231
0.047,3.007063,3.007063,4.00,0.333049,0.197063,1.209231
0.048,2.970243,2.970243,4.00,0.385654,0.200677,1.209231
0.049,2.942448,2.942448,4.00,0.425366,0.204252,1.209231
0.050,2.884255,2.884255,4.00,0.508505,0.207743,1.209231
0.051,2.858470,2.858470,4.00,0.545344,0.211198,1.209231
0.052,2.822731,2.822731,4.00,0.596405,0.214601,1.209231
0.053,2.782688,2.782688,4.00,0.653615,0.217948,1.209231
0.054,2.743278,2.743278,4.00,0.709919,0.221238,1.209231
0.055,2.669895,2.669895,4.00,0.814756,0.224423,1.209231
0.056,2.631466,2.631466,4.00,0.869660,0.227553,1.209231
0.057,2.584671,2.584671,4.00,0.936514,0.230617,1.209231
0.058,2.584674,2.584674,4.00,0.936514,0.233680,1.209231
0.059,2.487099,2.487099,4.00,1.075911,0.236604,1.209231
0.060,2.383930,2.383930,4.00,1.223299,0.239381,1.209231
0.061,2.333057,2.333057,4.00,1.295979,0.242085,1.209231
0.062,2.284178,2.284178,4.00,1.365809,0.244719,1.209231
0.063,2.223850,2.223850,4.00,1.451996,0.247267,1.209231
0.064,2.166704,2.166704,4.00,1.533637,0.249734,1.209231
0.065,2.056565,2.056565,4.00,1.690982,0.252043,1.209231
0.066,1.998450,1.998450,4.00,1.774006,0.254269,1.209231
0.067,1.930045,1.930045,4.00,1.871730,0.256397,1.209231
0.068,1.879034,1.879034,4.00,1.944607,0.258452,1.209231
0.069,1.825636,1.825636,4.00,2.020892,0.260432,1.209231
0.070,1.688111,1.688111,4.00,2.217359,0.262214,1.209231
0.071,1.623519,1.623519,4.00,2.309635,0.263905,1.209231
0.072,1.562646,1.562646,4.00,2.396599,0.265508,1.209231
0.073,1.491830,1.491830,4.00,2.497767,0.267010,1.209231
0.074,1.434312,1.434312,4.00,2.579938,0.268430,1.209231
0.075,1.319163,1.319163,4.00,2.744438,0.269686,1.209231
0.076,1.261351,1.261351,4.00,2.827028,0.270859,1.209231
0.077,1.193212,1.193212,4.00,2.924372,0.271934,1.209231
0.078,1.142431,1.142431,4.00,2.996917,0.272937,1.209231
0.079,1.093634,1.093634,4.00,3.066629,0.273871,1.209231
0.080,0.980689,0.980689,4.00,3.227980,0.274643,1.209231
0.081,0.921429,0.921429,4.00,3.312638,0.275330,1.209231
0.082,0.856421,0.856421,4.00,3.405507,0.275925,1.209231
0.083,0.808379,0.808379,4.00,3.474140,0.276451,1.209231
0.084,0.753179,0.753179,4.00,3.552997,0.276898,1.209231
0.085,0.629742,0.629742,4.00,3.729336,0.277168,1.209231
0.086,0.570601,0.570601,4.00,3.813824,0.277354,1.209231
0.087,0.505697,0.505697,4.00,3.906544,0.277448,1.209231
0.088,0.435754,0.435754,4.00,4.006462,0.277441,1.209231
0.089,0.374600,0.374600,4.00,4.093824,0.277348,1.209231
0.090,0.261740,0.261740,4.00,4.255053,0.277093,1.209231
0.091,0.209259,0.209259,4.00,4.330026,0.276762,1.209231
0.092,0.154576,0.154576,4.00,4.408144,0.276354,1.209231
0.093,0.097968,0.097968,4.00,4.489011,0.275865,1.209231
0.094,0.048474,0.048474,4.00,4.559717,0.275306,1.209231
0.095,-0.028792,0.000000,4.00,4.670095,0.274636,1.209231
0.096,-0.066756,0.000000,4.00,4.724328,0.273911,1.209231
0.097,-0.178593,0.000000,4.00,4.884094,0.273027,1.209231
0.098,-0.210927,0.000000,4.00,4.930285,0.272097,1.209231
0.099,-0.247995,0.000000,4.00,4.983238,0.271114,1.209231
0.100,-0.276007,0.000000,4.00,5.023253,0.270090,1.209231
0.101,-0.300498,0.000000,4.00,5.058239,0.269032,1.209231
0.102,-0.365366,0.000000,4.00,5.150906,0.267881,1.209231
0.103,-0.369833,0.000000,4.00,5.157285,0.266724,1.209231
0.104,-0.373738,0.000000,4.00,5.162862,0.265561,1.209231
0.105,-0.385949,0.000000,4.00,5.180305,0.264381,1.209231
0.106,-0.387829,0.000000,4.00,5.182989,0.263198,1.209231
0.107,-0.399707,0.000000,4.00,5.199955,0.261998,1.209231
0.108,-0.394740,0.000000,4.00,5.192859,0.260805,1.209231
0.109,-0.399915,0.000000,4.00,5.200249,0.259605,1.209231
0.110,-0.404439,0.000000,4.00,5.206710,0.258398,1.209231
