time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.001,0.355464,0.002346,6.000000,0.188751,-14.611800,3554.636267,410.030493
0.002,0.710705,0.004691,6.000000,0.187977,-14.570804,3552.411854,409.628271
0.003,1.065560,0.007033,6.000000,0.206090,-14.529849,3548.549647,409.037587
0.004,1.420212,0.009373,6.000000,0.203077,-14.488952,3546.521383,408.658751
0.005,1.774658,0.011713,6.000000,0.200443,-14.448094,3544.460932,408.276507
0.006,2.128865,0.014051,6.000000,0.201619,-14.407273,3542.070205,407.856537
0.007,2.482865,0.016387,6.000000,0.199168,-14.366495,3539.995298,407.473264
0.008,2.836616,0.018722,6.000000,0.201435,-14.325755,3537.511093,407.043200
0.009,3.190028,0.021054,6.000000,0.214154,-14.285057,3534.118742,406.509031
0.010,3.543190,0.023385,6.000000,0.216546,-14.244414,3531.625252,406.078681
0.011,3.895990,0.025714,6.000000,0.231989,-14.203813,3527.996859,405.518236
0.012,4.248506,0.028040,6.000000,0.238288,-14.163268,3525.164942,405.049801
0.013,4.600856,0.030366,6.000000,0.231229,-14.122771,3523.496622,404.715413
0.014,4.952976,0.032690,6.000000,0.231340,-14.082306,3521.204541,404.309657
0.015,5.304923,0.035012,6.000000,0.225155,-14.041882,3519.461758,403.967278
0.016,5.656626,0.037334,6.000000,0.226794,-14.001493,3517.037689,403.546989
0.017,6.008206,0.039654,6.000000,0.214896,-13.961145,3515.794499,403.262491
0.018,6.359538,0.041973,6.000000,0.217060,-13.920826,3513.325678,402.837662
0.019,6.710572,0.044290,6.000000,0.225235,-13.880549,3510.333070,402.353145
0.020,7.061370,0.046605,6.000000,0.226099,-13.840321,3507.979131,401.942217
0.021,7.411872,0.048918,6.000000,0.233799,-13.800134,3505.029090,401.463346
0.022,7.762040,0.051229,6.000000,0.246154,-13.759994,3501.673169,400.938407
0.023,8.111851,0.053538,6.000000,0.260907,-13.719908,3498.108321,400.390007
0.024,8.461434,0.055845,6.000000,0.260907,-13.679876,3495.833491,399.989687
0.025,8.810712,0.058151,6.000000,0.269855,-13.639884,3492.777019,399.500286
0.026,9.159950,0.060456,6.000000,0.248399,-13.599941,3492.380293,399.315412
0.027,9.508978,0.062759,6.000000,0.246353,-13.560016,3490.286232,398.936631
0.028,9.857850,0.065062,6.000000,0.238280,-13.520129,3488.720264,398.618489
0.029,10.206557,0.067363,6.000000,0.231222,-13.480274,3487.066203,398.290520
0.030,10.554980,0.069663,6.000000,0.237618,-13.440452,3484.234599,397.828347
0.031,10.902839,0.071959,6.000000,0.276200,-13.400676,3478.583722,397.044768
0.032,11.250519,0.074253,6.000000,0.270660,-13.360979,3476.800331,396.703192
0.033,11.597959,0.076547,6.000000,0.272099,-13.321315,3474.405752,396.292164
0.034,11.945256,0.078839,6.000000,0.262681,-13.281693,3472.964081,395.990119
