time,Vin,Pw,Force
0.000000,0.000000,0.000000,0.062891141
0.001000,0.000000,0.000000,0.057889473
0.002000,0.000000,0.000000,0.067752728
0.003000,0.000000,0.000000,0.067752728
0.004000,0.000000,0.000000,0.062726459
0.005000,0.000000,0.000000,0.051462301
0.006000,0.000000,0.000000,0.035330454
0.007000,0.000000,0.000000,0.057305954
0.008000,0.000000,0.000000,0.071855698
0.009000,0.000000,0.000000,0.072010697
0.010000,0.000000,0.000000,0.072010697
0.011000,0.000000,0.000000,0.072010697
0.012000,0.000000,0.000000,0.072010697
0.013000,0.000000,0.000000,0.072010697
0.014000,0.000000,0.000000,0.094816873
0.015000,0.000000,0.000000,0.092086485
0.016000,0.000000,0.000000,0.099388727
0.017000,0.000000,0.000000,0.102367009
0.018000,0.000000,0.000000,0.098687843
0.019000,0.000000,0.000000,0.095471015
0.020000,0.000000,0.000000,0.098941611
0.021000,0.000000,0.000000,0.092852422
0.022000,0.000000,0.000000,0.096652079
0.023000,0.000000,0.000000,0.099974258
0.024000,0.000000,0.000000,0.109162145
0.025000,0.000000,0.000000,0.123478633
0.026000,0.000000,0.000000,0.117103708
0.027000,0.000000,0.000000,0.124139044
0.028000,0.000000,0.000000,0.130290295
0.029000,0.000000,0.000000,0.135668556
0.030000,0.000000,0.000000,0.136300472
0.031000,0.000000,0.000000,0.134640287
0.032000,0.000000,0.000000,0.145755097
0.033000,0.000000,0.000000,0.127850076
0.034000,0.000000,0.000000,0.127850076
0.035000,0.000000,0.000000,0.115741470
0.036000,0.000000,0.000000,0.129231176
0.037000,0.000000,0.000000,0.153592086
0.038000,0.000000,0.000000,0.157394776
0.039000,0.000000,0.000000,0.157394776
0.040000,0.000000,0.000000,0.149314562
0.041000,0.000000,0.000000,0.146018978
0.042000,0.000000,0.000000,0.143137529
0.043000,0.000000,0.000000,0.132921793
0.044000,0.000000,0.000000,0.132921793
0.045000,0.000000,0.000000,0.136889034
0.046000,0.000000,0.000000,0.128871703
0.047000,0.000000,0.000000,0.121861859
0.048000,0.000000,0.000000,0.139421347
0.049000,0.000000,0.000000,0.139421347
0.050000,0.000000,0.000000,0.130080906
0.051000,0.000000,0.000000,0.129202294
0.052000,0.000000,0.000000,0.128434093
0.053000,0.000000,0.000000,0.115398361
0.054000,0.000000,0.000000,0.115398361
0.055000,0.000000,0.000000,0.122647998
0.056000,0.000000,0.000000,0.116468717
0.057000,0.000000,0.000000,0.111017478
0.058000,0.000000,0.000000,0.113860789
0.059000,0.000000,0.000000,0.113860789
0.060000,0.000000,0.000000,0.122317583
0.061000,0.000000,0.000000,0.122414540
0.062000,0.000000,0.000000,0.128782498
0.063000,0.000000,0.000000,0.161982345
0.064000,0.000000,0.000000,0.161982345
0.065000,0.000000,0.000000,0.158315210
0.066000,0.000000,0.000000,0.153888571
0.067000,0.000000,0.000000,0.162584571
0.068000,0.000000,0.000000,0.170552392
0.069000,0.000000,0.000000,0.170552392
0.070000,0.000000,0.000000,0.146806714
0.071000,0.000000,0.000000,0.137543090
0.072000,0.000000,0.000000,0.154576309
0.073000,0.000000,0.000000,0.169631379
0.074000,0.000000,0.000000,0.163782708
0.075000,0.000000,0.000000,0.158669003
0.076000,0.000000,0.000000,0.173047462
0.077000,0.000000,0.000000,0.167563661
0.078000,0.000000,0.000000,0.161974828
0.079000,0.000000,0.000000,0.169654678
0.080000,0.000000,0.000000,0.164984809
0.081000,0.000000,0.000000,0.164984809
0.082000,0.000000,0.000000,0.160610485
0.083000,0.000000,0.000000,0.168461784
0.084000,0.000000,0.000000,0.181609645
0.085000,0.000000,0.000000,0.185096376
0.086000,0.000000,0.000000,0.185096376
0.087000,0.000000,0.000000,0.170491436
0.088000,0.000000,0.000000,0.151968317
0.089000,0.000000,0.000000,0.154622438
0.090000,0.000000,0.000000,0.152688826
0.091000,0.000000,0.000000,0.152688826
0.092000,0.000000,0.000000,0.163777020
0.093000,0.000000,0.000000,0.146097660
0.094000,0.000000,0.000000,0.149489509
0.095000,0.000000,0.000000,0.155837641
0.096000,0.000000,0.000000,0.155837641
0.097000,0.000000,0.000000,0.165394607
0.098000,0.000000,0.000000,0.166361530
0.099000,0.000000,0.000000,0.160923761
0.100000,0.000000,0.000000,0.158295529
0.101000,0.000000,0.000000,0.158295529
0.102000,0.000000,0.000000,0.149213587
0.103000,0.000000,0.000000,0.145930692
0.104000,0.000000,0.000000,0.143060337
0.105000,0.000000,0.000000,0.143850017
0.106000,0.000000,0.000000,0.143850017
0.107000,0.000000,0.000000,0.149947316
0.108000,0.000000,0.000000,0.171704959
0.109000,0.000000,0.000000,0.178162085
0.110000,0.000000,0.000000,0.165979989
0.111000,0.000000,0.000000,0.165979989
0.112000,0.000000,0.000000,0.178641684
0.113000,0.000000,0.000000,0.171660745
0.114000,0.000000,0.000000,0.171840242
0.115000,0.000000,0.000000,0.172134402
0.116000,0.000000,0.000000,0.172134402
0.117000,0.000000,0.000000,0.178642462
0.118000,0.000000,0.000000,0.177944611
0.119000,0.000000,0.000000,0.177334454
0.120000,0.000000,0.000000,0.170051344
0.121000,0.000000,0.000000,0.170051344
0.122000,0.000000,0.000000,0.140930064
0.123000,0.000000,0.000000,0.138688107
0.124000,0.000000,0.000000,0.143011068
0.125000,0.000000,0.000000,0.150095538
0.126000,0.000000,0.000000,0.150095538
0.127000,0.000000,0.000000,0.143734557
0.128000,0.000000,0.000000,0.141140177
0.129000,0.000000,0.000000,0.126305446
0.130000,0.000000,0.000000,0.131831075
0.131000,0.000000,0.000000,0.141548836
0.132000,0.000000,0.000000,0.145512307
0.133000,0.000000,0.000000,0.155260899
0.134000,0.000000,0.000000,0.159460092
0.135000,0.000000,0.000000,0.159460092
0.136000,0.000000,0.000000,0.162670224
0.137000,0.000000,0.000000,0.163979503
0.138000,0.000000,0.000000,0.165124254
0.139000,0.000000,0.000000,0.155223469
0.140000,0.000000,0.000000,0.155223469
0.141000,0.000000,0.000000,0.183774651
0.142000,0.000000,0.000000,0.182431870
0.143000,0.000000,0.000000,0.181257827
0.144000,0.000000,0.000000,0.168346573
0.145000,0.000000,0.000000,0.168346573
0.146000,0.000000,0.000000,0.174957235
0.147000,0.000000,0.000000,0.162156112
0.148000,0.000000,0.000000,0.163529997
0.149000,0.000000,0.000000,0.176768753
0.150000,0.000000,0.000000,0.176768753
0.151000,0.000000,0.000000,0.186889305
0.152000,0.000000,0.000000,0.178871940
0.153000,0.000000,0.000000,0.190711622
0.154000,0.000000,0.000000,0.186560892
0.155000,0.000000,0.000000,0.177894191
0.156000,0.000000,0.000000,0.177290371
0.157000,0.000000,0.000000,0.183045613
0.158000,0.000000,0.000000,0.174417319
0.159000,0.000000,0.000000,0.167967230
0.160000,0.000000,0.000000,0.181177238
0.161000,0.000000,0.000000,0.192727228
0.162000,0.000000,0.000000,0.196542619
0.163000,0.000000,0.000000,0.179241676
0.164000,0.000000,0.000000,0.172185340
0.165000,0.000000,0.000000,0.166015729
0.166000,0.000000,0.000000,0.154338230
0.167000,0.000000,0.000000,0.150411353
0.168000,0.000000,0.000000,0.180095962
0.169000,0.000000,0.000000,0.185498644
0.170000,0.000000,0.000000,0.177656034
0.171000,0.000000,0.000000,0.158232585
0.172000,0.000000,0.000000,0.160099514
0.173000,0.000000,0.000000,0.156875854
0.174000,0.000000,0.000000,0.152630090
0.175000,0.000000,0.000000,0.148917864
0.176000,0.000000,0.000000,0.151955316
0.177000,0.000000,0.000000,0.160894256
0.178000,0.000000,0.000000,0.151989788
0.179000,0.000000,0.000000,0.151465829
0.180000,0.000000,0.000000,0.166749464
0.181000,0.000000,0.000000,0.161262946
0.182000,0.000000,0.000000,0.157765255
0.183000,0.000000,0.000000,0.159690911
0.184000,0.000000,0.000000,0.155091397
0.185000,0.000000,0.000000,0.144786689
0.186000,0.000000,0.000000,0.142060094
0.187000,0.000000,0.000000,0.143085367
0.188000,0.000000,0.000000,0.159422123
0.189000,0.000000,0.000000,0.161139571
0.190000,0.000000,0.000000,0.162641198
0.191000,0.000000,0.000000,0.150947674
0.192000,0.000000,0.000000,0.147446867
0.193000,0.000000,0.000000,0.144385985
0.194000,0.000000,0.000000,0.160559300
0.195000,0.000000,0.000000,0.164300097
0.196000,0.000000,0.000000,0.171687746
0.197000,0.000000,0.000000,0.171863850
0.198000,0.000000,0.000000,0.172017824
0.199000,0.000000,0.000000,0.165869264
0.200000,0.000000,0.000000,0.161286619
0.201000,0.000000,0.000000,0.161286619
0.202000,0.000000,0.000000,0.175843340
0.203000,0.000000,0.000000,0.168911441
0.204000,0.000000,0.000000,0.168911441
0.205000,0.000000,0.000000,0.134565033
0.206000,0.000000,0.000000,0.126839744
0.207000,0.000000,0.000000,0.132651614
0.208000,0.000000,0.000000,0.142176109
0.209000,0.000000,0.000000,0.142176109
0.210000,0.000000,0.000000,0.125903637
0.211000,0.000000,0.000000,0.125549956
0.212000,0.000000,0.000000,0.137807092
0.213000,0.000000,0.000000,0.132761346
0.214000,0.000000,0.000000,0.132761346
0.215000,0.000000,0.000000,0.131272761
0.216000,0.000000,0.000000,0.123961191
0.217000,0.000000,0.000000,0.123851606
0.218000,0.000000,0.000000,0.118178400
0.219000,0.000000,0.000000,0.118178400
0.220000,0.000000,0.000000,0.119335056
0.221000,0.000000,0.000000,0.119806808
0.222000,0.000000,0.000000,0.120219278
0.223000,0.000000,0.000000,0.109118431
0.224000,0.000000,0.000000,0.109118431
0.225000,0.000000,0.000000,0.106125851
0.226000,0.000000,0.000000,0.114540706
