time,Vin,Pw,Force
0.000000,0.000000,0.000000,-0.239212196
0.001000,0.000000,0.000000,-0.261020364
0.002000,0.000000,0.000000,-0.254417674
0.003000,0.000000,0.000000,-0.254927887
0.004000,0.000000,0.000000,-0.249090799
0.005000,0.000000,0.000000,-0.243987222
0.006000,0.000000,0.000000,-0.270953885
0.007000,0.000000,0.000000,-0.278593607
0.008000,0.000000,0.000000,-0.276065782
0.009000,0.000000,0.000000,-0.271923184
0.010000,0.000000,0.000000,-0.263262699
0.011000,0.000000,0.000000,-0.268944599
0.012000,0.000000,0.000000,-0.273912490
0.013000,0.000000,0.000000,-0.253006650
0.014000,0.000000,0.000000,-0.253694178
0.015000,0.000000,0.000000,-0.229162567
0.016000,0.000000,0.000000,-0.213996874
0.017000,0.000000,0.000000,-0.207020144
0.018000,0.000000,0.000000,-0.207363480
0.019000,0.000000,0.000000,-0.207503512
0.020000,0.000000,0.000000,-0.213909133
0.021000,0.000000,0.000000,-0.219509799
0.022000,0.000000,0.000000,-0.218123480
0.023000,0.000000,0.000000,-0.233911567
0.024000,0.000000,0.000000,-0.243281839
0.025000,0.000000,0.000000,-0.251474608
0.026000,0.000000,0.000000,-0.252354657
0.027000,0.000000,0.000000,-0.253124117
0.028000,0.000000,0.000000,-0.277938712
0.029000,0.000000,0.000000,-0.277938712
0.030000,0.000000,0.000000,-0.249011798
0.031000,0.000000,0.000000,-0.243918148
0.032000,0.000000,0.000000,-0.252030956
0.033000,0.000000,0.000000,-0.252759856
0.034000,0.000000,0.000000,-0.253478397
0.035000,0.000000,0.000000,-0.241540273
0.036000,0.000000,0.000000,-0.231102337
0.037000,0.000000,0.000000,-0.215692886
0.038000,0.000000,0.000000,-0.213993478
0.039000,0.000000,0.000000,-0.213300360
0.040000,0.000000,0.000000,-0.218977527
0.041000,0.000000,0.000000,-0.217658095
0.042000,0.000000,0.000000,-0.210221283
0.043000,0.000000,0.000000,-0.215304252
0.044000,0.000000,0.000000,-0.214446417
0.045000,0.000000,0.000000,-0.213696381
0.046000,0.000000,0.000000,-0.213040597
0.047000,0.000000,0.000000,-0.206184037
0.048000,0.000000,0.000000,-0.189453886
0.049000,0.000000,0.000000,-0.198127690
0.050000,0.000000,0.000000,-0.205711511
0.051000,0.000000,0.000000,-0.206059136
0.052000,0.000000,0.000000,-0.206363077
0.053000,0.000000,0.000000,-0.201367558
0.054000,0.000000,0.000000,-0.214819084
0.055000,0.000000,0.000000,-0.214022217
0.056000,0.000000,0.000000,-0.213325488
0.057000,0.000000,0.000000,-0.223170921
0.058000,0.000000,0.000000,-0.208758161
0.059000,0.000000,0.000000,-0.202439747
0.060000,0.000000,0.000000,-0.203198514
0.061000,0.000000,0.000000,-0.191295561
0.062000,0.000000,0.000000,-0.207908973
0.063000,0.000000,0.000000,-0.214263642
0.064000,0.000000,0.000000,-0.200970204
0.065000,0.000000,0.000000,-0.189347268
0.066000,0.000000,0.000000,-0.185468099
0.067000,0.000000,0.000000,-0.191677286
0.068000,0.000000,0.000000,-0.187505318
0.069000,0.000000,0.000000,-0.196423986
0.070000,0.000000,0.000000,-0.191655530
0.071000,0.000000,0.000000,-0.187486296
0.072000,0.000000,0.000000,-0.174370569
0.073000,0.000000,0.000000,-0.194180859
0.074000,0.000000,0.000000,-0.183411098
0.075000,0.000000,0.000000,-0.186561075
0.076000,0.000000,0.000000,-0.186561075
0.077000,0.000000,0.000000,-0.197216876
0.078000,0.000000,0.000000,-0.198631968
0.079000,0.000000,0.000000,-0.198631968
0.080000,0.000000,0.000000,-0.200161453
0.081000,0.000000,0.000000,-0.188640148
0.082000,0.000000,0.000000,-0.175252647
0.083000,0.000000,0.000000,-0.179427846
0.084000,0.000000,0.000000,-0.195644744
0.085000,0.000000,0.000000,-0.190974211
0.086000,0.000000,0.000000,-0.199456964
0.087000,0.000000,0.000000,-0.214148072
0.088000,0.000000,0.000000,-0.219718712
0.089000,0.000000,0.000000,-0.218306140
0.090000,0.000000,0.000000,-0.223354263
0.091000,0.000000,0.000000,-0.221484834
0.092000,0.000000,0.000000,-0.212927597
0.093000,0.000000,0.000000,-0.224934792
0.094000,0.000000,0.000000,-0.216583563
0.095000,0.000000,0.000000,-0.209281780
0.096000,0.000000,0.000000,-0.202897566
0.097000,0.000000,0.000000,-0.198718300
0.098000,0.000000,0.000000,-0.206510636
0.099000,0.000000,0.000000,-0.200474655
0.100000,0.000000,0.000000,-0.201480362
0.101000,0.000000,0.000000,-0.201480362
0.102000,0.000000,0.000000,-0.220398935
0.103000,0.000000,0.000000,-0.184075303
0.104000,0.000000,0.000000,-0.180858629
0.105000,0.000000,0.000000,-0.199140746
0.106000,0.000000,0.000000,-0.199140746
0.107000,0.000000,0.000000,-0.195846347
0.108000,0.000000,0.000000,-0.197433665
0.109000,0.000000,0.000000,-0.192538329
0.110000,0.000000,0.000000,-0.172739049
0.111000,0.000000,0.000000,-0.172739049
0.112000,0.000000,0.000000,-0.175663201
0.113000,0.000000,0.000000,-0.173503623
0.114000,0.000000,0.000000,-0.177898610
0.115000,0.000000,0.000000,-0.173324314
0.116000,0.000000,0.000000,-0.173324314
0.117000,0.000000,0.000000,-0.164333813
0.118000,0.000000,0.000000,-0.169881113
0.119000,0.000000,0.000000,-0.174731318
0.120000,0.000000,0.000000,-0.175607082
0.121000,0.000000,0.000000,-0.175607082
0.122000,0.000000,0.000000,-0.159795722
0.123000,0.000000,0.000000,-0.159630109
0.124000,0.000000,0.000000,-0.159485308
0.125000,0.000000,0.000000,-0.165531194
0.126000,0.000000,0.000000,-0.165531194
0.127000,0.000000,0.000000,-0.199200277
0.128000,0.000000,0.000000,-0.212372707
0.129000,0.000000,0.000000,-0.199678519
0.130000,0.000000,0.000000,-0.200784272
0.131000,0.000000,0.000000,-0.195467886
0.132000,0.000000,0.000000,-0.197102763
0.133000,0.000000,0.000000,-0.192249010
0.134000,0.000000,0.000000,-0.196071480
0.135000,0.000000,0.000000,-0.185064136
0.136000,0.000000,0.000000,-0.169156830
0.137000,0.000000,0.000000,-0.174098052
0.138000,0.000000,0.000000,-0.190984712
0.139000,0.000000,0.000000,-0.182538599
0.140000,0.000000,0.000000,-0.192081403
0.141000,0.000000,0.000000,-0.200425023
0.142000,0.000000,0.000000,-0.207720153
0.143000,0.000000,0.000000,-0.201532179
0.144000,0.000000,0.000000,-0.202378559
0.145000,0.000000,0.000000,-0.190578645
0.146000,0.000000,0.000000,-0.192827922
0.147000,0.000000,0.000000,-0.194794546
0.148000,0.000000,0.000000,-0.209080408
0.149000,0.000000,0.000000,-0.191668057
0.150000,0.000000,0.000000,-0.187497249
0.151000,0.000000,0.000000,-0.183850560
0.152000,0.000000,0.000000,-0.174378943
0.153000,0.000000,0.000000,-0.174378943
0.154000,0.000000,0.000000,-0.195983065
0.155000,0.000000,0.000000,-0.191270017
0.156000,0.000000,0.000000,-0.180866043
0.157000,0.000000,0.000000,-0.178052656
0.158000,0.000000,0.000000,-0.181875995
0.159000,0.000000,0.000000,-0.182648067
0.160000,0.000000,0.000000,-0.192177115
0.161000,0.000000,0.000000,-0.187942337
0.162000,0.000000,0.000000,-0.177956531
0.163000,0.000000,0.000000,-0.175508764
0.164000,0.000000,0.000000,-0.184063734
0.165000,0.000000,0.000000,-0.193414884
0.166000,0.000000,0.000000,-0.195307748
0.167000,0.000000,0.000000,-0.184396378
0.168000,0.000000,0.000000,-0.174856171
0.169000,0.000000,0.000000,-0.183564849
0.170000,0.000000,0.000000,-0.192978691
0.171000,0.000000,0.000000,-0.194926369
0.172000,0.000000,0.000000,-0.196629295
0.173000,0.000000,0.000000,-0.191835039
0.174000,0.000000,0.000000,-0.177695027
0.175000,0.000000,0.000000,-0.168996936
0.176000,0.000000,0.000000,-0.167675065
0.177000,0.000000,0.000000,-0.160236120
0.178000,0.000000,0.000000,-0.166298351
0.179000,0.000000,0.000000,-0.190933321
0.180000,0.000000,0.000000,-0.193138028
0.181000,0.000000,0.000000,-0.195065683
0.182000,0.000000,0.000000,-0.184184732
0.183000,0.000000,0.000000,-0.180954306
0.184000,0.000000,0.000000,-0.187437086
0.185000,0.000000,0.000000,-0.196364328
0.186000,0.000000,0.000000,-0.185320184
0.187000,0.000000,0.000000,-0.175663888
0.188000,0.000000,0.000000,-0.179787408
0.189000,0.000000,0.000000,-0.168485047
0.190000,0.000000,0.000000,-0.173510687
0.191000,0.000000,0.000000,-0.171621601
0.192000,0.000000,0.000000,-0.157403535
0.193000,0.000000,0.000000,-0.151255348
0.194000,0.000000,0.000000,-0.159239686
0.195000,0.000000,0.000000,-0.165427133
0.196000,0.000000,0.000000,-0.177120227
0.197000,0.000000,0.000000,-0.166446083
0.198000,0.000000,0.000000,-0.166446083
0.199000,0.000000,0.000000,-0.170852455
0.200000,0.000000,0.000000,-0.169297413
0.201000,0.000000,0.000000,-0.186787339
0.202000,0.000000,0.000000,-0.202079416
0.203000,0.000000,0.000000,-0.202883463
0.204000,0.000000,0.000000,-0.204201136
0.205000,0.000000,0.000000,-0.211021745
0.206000,0.000000,0.000000,-0.210702066
0.207000,0.000000,0.000000,-0.222988930
0.208000,0.000000,0.000000,-0.233731781
0.209000,0.000000,0.000000,-0.227783563
0.210000,0.000000,0.000000,-0.225357532
0.211000,0.000000,0.000000,-0.229519550
0.212000,0.000000,0.000000,-0.239441739
0.213000,0.000000,0.000000,-0.241833884
0.214000,0.000000,0.000000,-0.222990095
0.215000,0.000000,0.000000,-0.214883243
0.216000,0.000000,0.000000,-0.201511944
0.217000,0.000000,0.000000,-0.189820931
0.218000,0.000000,0.000000,-0.198448610
0.219000,0.000000,0.000000,-0.200810851
0.220000,0.000000,0.000000,-0.189207940
0.221000,0.000000,0.000000,-0.185346279
0.222000,0.000000,0.000000,-0.184511406
0.223000,0.000000,0.000000,-0.184511406
0.224000,0.000000,0.000000,-0.178379558
0.225000,0.000000,0.000000,-0.201011373
